Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
JFL,56.12,807.00,815.00,771.00,780.00,783.82,"64,672.00",802.00,"50,691,305.70",527,-22.00,44.00,-2.74,5.71,-0.49,410.01,360.24,836.00,165.00,09_01_2021
JFL,60.33,673.20,687.00,673.00,674.00,678.84,"40,488.00",660.00,"27,485,054.50",322,14.00,14.00,2.12,2.08,-0.72,532.06,443.16,836.00,217.00,11_03_2021
JFL,62.09,673.20,687.00,673.00,674.00,678.84,"40,488.00",660.00,"27,485,054.50",322,14.00,14.00,2.12,2.08,-0.72,532.06,443.16,836.00,217.00,11_05_2021
JFL,62.09,673.20,687.00,673.00,674.00,678.84,"40,488.00",660.00,"27,485,054.50",322,14.00,14.00,2.12,2.08,-0.72,532.06,443.16,836.00,217.00,11_06_2021
JFL,62.09,673.20,687.00,673.00,674.00,678.84,"40,488.00",660.00,"27,485,054.50",322,14.00,14.00,2.12,2.08,-0.72,532.06,443.16,836.00,217.00,11_07_2021
JFL,62.88,687.40,730.00,687.00,722.00,711.53,"83,850.00",674.00,"59,662,169.40",582,48.00,43.00,7.12,6.26,1.45,535.90,445.69,836.00,217.00,11_08_2021
JFL,63.29,732.00,736.00,686.00,712.20,712.74,"124,684.00",722.00,"88,867,532.80",927,-9.80,50.00,-1.36,7.29,-0.08,539.67,448.18,836.00,217.00,11_09_2021
JFL,61.42,732.00,736.00,686.00,712.20,712.74,"124,684.00",722.00,"88,867,532.80",927,-9.80,50.00,-1.36,7.29,-0.08,539.67,448.18,836.00,217.00,11_10_2021
JFL,59.37,698.00,730.00,682.00,690.00,697.98,"85,396.00",712.20,"59,604,588.50",523,-22.20,48.00,-3.12,7.04,-1.16,543.22,450.53,836.00,217.00,11_11_2021
JFL,55.34,698.00,730.00,682.00,690.00,697.98,"85,396.00",712.20,"59,604,588.50",523,-22.20,48.00,-3.12,7.04,-1.16,543.22,450.53,836.00,217.00,11_12_2021
JFL,55.34,698.00,730.00,682.00,690.00,697.98,"85,396.00",712.20,"59,604,588.50",523,-22.20,48.00,-3.12,7.04,-1.16,543.22,450.53,836.00,217.00,11_13_2021
JFL,53.29,682.00,715.00,677.00,710.00,696.46,"48,149.00",690.00,"33,533,880.40",295,20.00,38.00,2.90,5.61,1.91,546.94,452.98,836.00,217.00,11_14_2021
JFL,52.67,723.00,749.70,716.20,742.90,733.45,"117,518.00",710.00,"86,193,953.50",508,32.90,33.50,4.63,4.68,1.27,550.92,455.62,836.00,217.00,11_15_2021
JFL,54.69,745.00,803.90,731.00,760.20,754.80,"181,021.00",742.90,"136,635,117.60",824,17.30,72.90,2.33,9.97,0.71,554.94,458.34,836.00,217.00,11_16_2021
JFL,57.24,775.00,775.00,745.00,745.00,756.26,"82,022.00",760.20,"62,030,235.70",515,-15.20,30.00,-2.00,4.03,-1.51,558.82,460.98,836.00,217.00,11_17_2021
JFL,55.01,730.10,757.00,716.00,720.00,732.70,"70,336.00",745.00,"51,534,996.30",403,-25.00,41.00,-3.36,5.73,-1.76,562.50,463.47,836.00,217.00,11_18_2021
JFL,50.66,730.10,757.00,716.00,720.00,732.70,"70,336.00",745.00,"51,534,996.30",403,-25.00,41.00,-3.36,5.73,-1.76,562.50,463.47,836.00,217.00,11_19_2021
JFL,50.66,730.10,757.00,716.00,720.00,732.70,"70,336.00",745.00,"51,534,996.30",403,-25.00,41.00,-3.36,5.73,-1.76,562.50,463.47,836.00,217.00,11_20_2021
JFL,45.96,730.00,743.90,716.00,722.00,726.29,"24,335.00",720.00,"17,674,271.70",195,2.00,27.90,0.28,3.90,-0.59,565.97,466.01,836.00,217.00,11_21_2021
JFL,42.62,730.00,730.00,707.70,708.00,712.55,"23,678.00",722.00,"16,871,731.50",192,-14.00,22.30,-1.94,3.15,-0.64,569.31,468.45,836.00,217.00,11_22_2021
JFL,40.29,709.00,716.90,671.30,700.00,686.20,"63,289.00",708.00,"43,429,196.90",427,-8.00,45.60,-1.13,6.79,1.97,572.33,470.82,836.00,217.00,11_23_2021
JFL,43.48,690.00,714.00,673.30,695.00,695.39,"28,736.00",700.00,"19,982,829.00",233,-5.00,40.70,-0.71,6.04,-0.06,575.11,473.11,836.00,217.00,11_24_2021
JFL,42.21,708.00,723.00,695.00,709.00,704.94,"20,093.00",695.00,"14,164,359.20",173,14.00,28.00,2.01,4.03,0.57,578.11,475.52,836.00,217.00,11_25_2021
JFL,41.87,708.00,723.00,695.00,709.00,704.94,"20,093.00",695.00,"14,164,359.20",173,14.00,28.00,2.01,4.03,0.57,578.11,475.52,836.00,217.00,11_26_2021
JFL,41.87,708.00,723.00,695.00,709.00,704.94,"20,093.00",695.00,"14,164,359.20",173,14.00,28.00,2.01,4.03,0.57,578.11,475.52,836.00,217.00,11_27_2021
JFL,38.97,695.00,698.00,670.00,671.10,681.50,"38,224.00",709.00,"26,049,693.20",302,-37.90,28.00,-5.35,4.18,-1.55,580.86,477.73,836.00,217.00,11_28_2021
JFL,39.04,657.70,694.00,657.70,673.00,675.85,"18,153.00",671.10,"12,268,619.50",178,1.90,36.30,0.28,5.52,-0.42,583.61,479.93,836.00,217.00,11_29_2021
JFL,35.57,686.40,690.00,663.00,666.00,669.64,"23,811.00",673.00,"15,944,873.90",165,-7.00,27.00,-1.04,4.07,-0.55,586.19,482.13,836.00,217.00,11_30_2021
JFL,36.21,679.30,689.00,670.00,685.50,680.57,"19,871.00",666.00,"13,523,629.00",127,19.50,19.00,2.93,2.84,0.72,589.06,484.48,836.00,217.00,12_01_2021
JFL,35.72,692.00,692.00,653.00,657.00,662.65,"24,912.00",685.50,"16,508,035.60",167,-28.50,39.00,-4.16,5.97,-0.86,591.60,486.64,836.00,217.00,12_02_2021
JFL,35.64,692.00,692.00,653.00,657.00,662.65,"24,912.00",685.50,"16,508,035.60",167,-28.50,39.00,-4.16,5.97,-0.86,591.60,486.64,836.00,217.00,12_03_2021
JFL,35.64,692.00,692.00,653.00,657.00,662.65,"24,912.00",685.50,"16,508,035.60",167,-28.50,39.00,-4.16,5.97,-0.86,591.60,486.64,836.00,217.00,12_04_2021
JFL,34.74,657.00,657.00,620.00,621.00,633.96,"18,635.00",657.00,"11,813,805.60",191,-36.00,37.00,-5.48,5.97,-2.09,593.54,488.66,836.00,217.00,12_05_2021
JFL,31.68,609.00,640.00,588.00,635.00,615.86,"28,651.00",621.00,"17,644,988.00",264,14.00,52.00,2.25,8.84,3.01,595.55,490.77,836.00,217.00,12_06_2021
JFL,35.00,642.20,655.00,610.00,611.00,628.71,"14,325.00",635.00,"9,006,239.60",139,-24.00,45.00,-3.78,7.38,-2.90,597.46,492.71,836.00,217.00,12_07_2021
JFL,31.99,599.10,610.90,564.50,575.00,584.42,"21,918.00",611.00,"12,809,214.00",231,-36.00,46.40,-5.89,8.22,-1.64,598.75,494.42,836.00,217.00,12_08_2021
JFL,33.52,565.00,590.00,562.00,578.00,573.65,"17,782.00",575.00,"10,200,666.90",151,3.00,28.00,0.52,4.98,0.75,599.72,496.15,836.00,217.00,12_09_2021
JFL,35.68,565.00,590.00,562.00,578.00,573.65,"17,782.00",575.00,"10,200,666.90",151,3.00,28.00,0.52,4.98,0.75,599.72,496.15,836.00,217.00,12_10_2021
JFL,35.68,565.00,590.00,562.00,578.00,573.65,"17,782.00",575.00,"10,200,666.90",151,3.00,28.00,0.52,4.98,0.75,599.72,496.15,836.00,217.00,12_11_2021
JFL,35.03,579.80,585.00,525.00,525.00,551.52,"31,701.00",578.00,"17,483,744.20",247,-53.00,60.00,-9.17,11.43,-5.05,600.45,497.58,836.00,217.00,12_12_2021
JFL,28.07,515.00,525.00,477.50,485.00,494.61,"40,750.00",525.00,"20,155,393.00",322,-40.00,47.50,-7.62,9.95,-1.98,600.70,498.82,836.00,217.00,12_13_2021
JFL,31.69,494.70,530.00,494.70,530.00,519.94,"15,468.00",485.00,"8,042,438.50",138,45.00,35.30,9.28,7.14,1.90,600.96,500.32,836.00,217.00,12_14_2021
JFL,39.11,540.60,583.00,510.00,510.00,553.40,"51,544.00",530.00,"28,524,553.10",444,-20.00,73.00,-3.77,14.31,-8.51,601.08,501.71,836.00,217.00,12_15_2021
JFL,41.22,520.00,536.50,512.00,513.60,523.89,"35,576.00",510.00,"18,637,856.50",302,3.60,24.50,0.71,4.79,-2.00,601.40,503.09,836.00,217.00,12_16_2021
JFL,45.30,520.00,536.50,512.00,513.60,523.89,"35,576.00",510.00,"18,637,856.50",302,3.60,24.50,0.71,4.79,-2.00,601.40,503.09,836.00,217.00,12_17_2021
JFL,45.30,520.00,536.50,512.00,513.60,523.89,"35,576.00",510.00,"18,637,856.50",302,3.60,24.50,0.71,4.79,-2.00,601.40,503.09,836.00,217.00,12_18_2021
JFL,45.30,520.00,536.50,512.00,513.60,523.89,"35,576.00",510.00,"18,637,856.50",302,3.60,24.50,0.71,4.79,-2.00,601.40,503.09,836.00,217.00,12_19_2021
JFL,42.61,510.00,534.00,500.20,520.00,517.11,"19,030.00",513.60,"9,840,691.50",153,6.40,33.80,1.25,6.76,0.55,601.98,504.47,836.00,217.00,12_20_2021
JFL,46.05,530.00,571.00,530.00,571.00,549.62,"21,484.00",520.00,"11,808,122.00",175,51.00,41.00,9.81,7.74,3.74,602.91,506.17,836.00,217.00,12_21_2021
JFL,46.14,582.40,622.00,559.70,614.90,596.42,"51,964.00",571.00,"30,992,508.50",348,43.90,62.30,7.69,11.13,3.00,604.44,508.15,836.00,225.00,12_22_2021
JFL,51.09,616.00,621.10,595.00,605.00,609.51,"33,571.00",614.90,"20,461,973.30",279,-9.90,26.10,-1.61,4.39,-0.75,606.15,510.07,836.00,225.00,12_23_2021
JFL,54.60,616.00,621.10,595.00,605.00,609.51,"33,571.00",614.90,"20,461,973.30",279,-9.90,26.10,-1.61,4.39,-0.75,606.15,510.07,836.00,225.00,12_24_2021
JFL,54.60,616.00,621.10,595.00,605.00,609.51,"33,571.00",614.90,"20,461,973.30",279,-9.90,26.10,-1.61,4.39,-0.75,606.15,510.07,836.00,225.00,12_25_2021
JFL,52.97,616.00,616.00,600.00,600.00,604.22,"22,270.00",605.00,"13,455,920.70",192,-5.00,16.00,-0.83,2.67,-0.70,607.48,511.98,836.00,225.00,12_26_2021
JFL,51.40,612.00,620.00,555.00,557.00,579.68,"44,893.00",600.00,"26,023,664.70",326,-43.00,65.00,-7.17,11.71,-4.07,608.46,513.62,836.00,225.00,12_27_2021
JFL,49.41,547.00,584.00,538.00,584.00,563.47,"34,002.00",557.00,"19,158,942.30",241,27.00,46.00,4.85,8.55,3.52,609.77,515.43,836.00,225.00,12_28_2021
JFL,43.16,585.00,595.60,574.00,583.00,587.79,"11,922.00",584.00,"7,007,633.00",88,-1.00,21.60,-0.17,3.76,-0.82,611.13,517.22,836.00,225.00,12_29_2021
JFL,41.73,585.00,595.60,574.00,583.00,587.79,"11,922.00",584.00,"7,007,633.00",88,-1.00,21.60,-0.17,3.76,-0.82,611.13,517.22,836.00,225.00,12_30_2021
JFL,41.73,585.00,595.60,574.00,583.00,587.79,"11,922.00",584.00,"7,007,633.00",88,-1.00,21.60,-0.17,3.76,-0.82,611.13,517.22,836.00,225.00,12_31_2021
JFL,41.73,585.00,595.60,574.00,583.00,587.79,"11,922.00",584.00,"7,007,633.00",88,-1.00,21.60,-0.17,3.76,-0.82,611.13,517.22,836.00,225.00,01_01_2022
JFL,43.27,575.00,594.00,572.00,586.00,585.55,"8,566.00",583.00,"5,015,789.20",83,3.00,22.00,0.51,3.85,0.08,612.61,519.04,836.00,225.00,01_02_2022
JFL,45.41,587.00,610.00,580.00,598.00,596.54,"34,660.00",586.00,"20,675,908.90",219,12.00,30.00,2.05,5.17,0.24,614.28,520.92,836.00,225.00,01_03_2022
JFL,59.25,588.10,615.00,588.00,608.00,605.29,"27,374.00",598.00,"16,569,321.40",222,10.00,27.00,1.67,4.59,0.45,615.85,522.81,836.00,235.00,01_04_2022
JFL,56.59,620.00,625.00,603.00,615.00,615.00,"39,191.00",608.00,"24,102,326.80",293,7.00,22.00,1.15,3.65,0.00,617.43,524.76,836.00,244.00,01_05_2022
JFL,58.67,605.00,624.80,602.70,622.00,617.90,"18,178.00",615.00,"11,232,259.00",144,7.00,22.10,1.14,3.67,0.66,619.09,526.72,836.00,244.00,01_06_2022
JFL,55.33,605.00,624.80,602.70,622.00,617.90,"18,178.00",615.00,"11,232,259.00",144,7.00,22.10,1.14,3.67,0.66,619.09,526.72,836.00,244.00,01_07_2022
JFL,55.33,605.00,624.80,602.70,622.00,617.90,"18,178.00",615.00,"11,232,259.00",144,7.00,22.10,1.14,3.67,0.66,619.09,526.72,836.00,244.00,01_08_2022
JFL,55.80,634.00,650.00,626.00,650.00,640.27,"38,032.00",622.00,"24,350,895.50",313,28.00,24.00,4.50,3.83,1.50,621.06,528.86,836.00,244.00,01_09_2022
JFL,59.28,655.00,675.00,639.00,663.00,657.94,"42,619.00",650.00,"28,040,790.50",337,13.00,36.00,2.00,5.63,0.76,623.19,531.03,836.00,244.00,01_10_2022
JFL,61.31,656.00,722.00,650.00,692.00,685.38,"55,894.00",663.00,"38,308,409.20",430,29.00,72.00,4.37,11.08,0.96,625.62,533.38,836.00,244.00,01_11_2022
JFL,60.90,705.80,747.00,692.00,696.00,713.19,"112,620.00",692.00,"80,318,970.50","1,005",4.00,55.00,0.58,7.95,-2.47,628.01,535.75,836.00,244.00,01_12_2022
JFL,59.66,700.00,711.90,695.00,711.00,705.18,"55,739.00",696.00,"39,306,088.90",409,15.00,16.90,2.16,2.43,0.82,630.19,538.18,836.00,244.00,01_13_2022
JFL,58.27,700.00,711.90,695.00,711.00,705.18,"55,739.00",696.00,"39,306,088.90",409,15.00,16.90,2.16,2.43,0.82,630.19,538.18,836.00,244.00,01_14_2022
JFL,58.27,700.00,711.90,695.00,711.00,705.18,"55,739.00",696.00,"39,306,088.90",409,15.00,16.90,2.16,2.43,0.82,630.19,538.18,836.00,244.00,01_15_2022
JFL,59.47,725.00,730.00,713.00,715.00,722.08,"45,612.00",711.00,"32,935,370.60",391,4.00,17.00,0.56,2.38,-0.99,632.51,540.65,836.00,244.00,01_16_2022
JFL,57.62,711.00,719.00,703.00,704.00,708.71,"31,276.00",715.00,"22,165,614.20",281,-11.00,16.00,-1.54,2.28,-0.67,634.54,543.08,836.00,244.00,01_17_2022
JFL,55.53,717.00,717.00,675.00,675.00,693.60,"43,017.00",704.00,"29,836,711.10",360,-29.00,42.00,-4.12,6.22,-2.76,636.20,545.34,836.00,244.00,01_18_2022
JFL,54.42,680.00,701.70,667.10,682.00,685.34,"63,542.00",675.00,"43,547,929.90",498,7.00,34.60,1.04,5.19,-0.49,637.91,547.66,836.00,244.00,01_19_2022
JFL,52.61,673.10,700.00,673.00,700.00,691.77,"26,274.00",682.00,"18,175,658.60",239,18.00,27.00,2.64,4.01,1.18,639.73,550.07,836.00,244.00,01_20_2022
JFL,49.95,673.10,700.00,673.00,700.00,691.77,"26,274.00",682.00,"18,175,658.60",239,18.00,27.00,2.64,4.01,1.18,639.73,550.07,836.00,244.00,01_21_2022
JFL,49.95,673.10,700.00,673.00,700.00,691.77,"26,274.00",682.00,"18,175,658.60",239,18.00,27.00,2.64,4.01,1.18,639.73,550.07,836.00,244.00,01_22_2022
JFL,51.78,700.00,713.00,682.00,683.00,688.75,"19,593.00",700.00,"13,494,747.40",222,-17.00,31.00,-2.43,4.55,-0.84,641.46,552.43,836.00,244.00,01_23_2022
JFL,48.35,683.00,683.00,639.00,654.00,662.61,"64,146.00",683.00,"42,503,795.80",553,-29.00,44.00,-4.25,6.89,-1.32,643.01,554.70,836.00,244.00,01_24_2022
JFL,52.89,665.00,674.00,641.00,654.00,661.88,"32,169.00",654.00,"21,291,982.70",299,0.00,33.00,0.00,5.15,-1.20,644.46,556.90,836.00,244.00,01_25_2022
JFL,46.75,644.00,667.00,641.00,648.00,650.90,"27,651.00",654.00,"17,998,145.70",271,-6.00,26.00,-0.92,4.06,-0.45,645.57,559.09,836.00,244.00,01_26_2022
JFL,43.80,660.00,665.00,651.10,659.00,657.93,"21,938.00",648.00,"14,433,741.70",219,11.00,13.90,1.70,2.13,0.16,646.34,561.32,836.00,244.00,01_27_2022
JFL,42.20,660.00,665.00,651.10,659.00,657.93,"21,938.00",648.00,"14,433,741.70",219,11.00,13.90,1.70,2.13,0.16,646.34,561.32,836.00,244.00,01_28_2022
JFL,42.20,660.00,665.00,651.10,659.00,657.93,"21,938.00",648.00,"14,433,741.70",219,11.00,13.90,1.70,2.13,0.16,646.34,561.32,836.00,244.00,01_29_2022
JFL,43.40,672.00,703.00,672.00,701.00,692.29,"57,610.00",659.00,"39,882,636.60",443,42.00,31.00,6.37,4.61,1.24,646.99,563.68,836.00,244.00,01_30_2022
JFL,58.69,710.00,710.00,685.00,685.00,692.03,"32,633.00",701.00,"22,582,900.80",353,-16.00,25.00,-2.28,3.65,-1.03,647.40,566.01,836.00,244.00,01_31_2022
JFL,56.36,694.40,700.00,682.00,692.10,691.90,"24,380.00",685.00,"16,868,431.40",211,7.10,18.00,1.04,2.64,0.03,648.16,568.40,836.00,244.00,02_01_2022
JFL,55.38,694.40,700.00,682.00,692.10,691.90,"24,380.00",685.00,"16,868,431.40",211,7.10,18.00,1.04,2.64,0.03,648.16,568.40,836.00,244.00,02_02_2022
JFL,55.31,705.00,710.00,690.90,692.00,697.81,"47,288.00",692.10,"32,998,245.80",347,-0.10,19.10,-0.01,2.76,-0.84,649.06,570.78,836.00,244.00,02_03_2022
JFL,55.70,705.00,710.00,690.90,692.00,697.81,"47,288.00",692.10,"32,998,245.80",347,-0.10,19.10,-0.01,2.76,-0.84,649.06,570.78,836.00,244.00,02_04_2022
JFL,55.70,705.00,710.00,690.90,692.00,697.81,"47,288.00",692.10,"32,998,245.80",347,-0.10,19.10,-0.01,2.76,-0.84,649.06,570.78,836.00,244.00,02_05_2022
JFL,55.55,695.00,696.00,675.00,677.10,682.64,"45,156.00",692.00,"30,825,448.90",480,-14.90,21.00,-2.15,3.11,-0.82,649.73,573.08,836.00,244.00,02_06_2022
JFL,44.70,600.50,600.50,589.00,595.00,595.96,"25,058.00",588.78,"14,933,555.50",320,6.22,11.50,1.06,1.95,-0.16,649.72,574.95,836.00,244.00,02_07_2022
JFL,40.41,606.90,631.00,590.20,590.20,603.91,"33,397.00",595.00,"20,168,801.50",308,-4.80,40.80,-0.81,6.91,-2.32,649.55,576.76,836.00,244.00,02_08_2022
JFL,43.08,599.00,599.00,566.50,576.00,573.73,"16,666.00",590.20,"9,561,846.50",173,-14.20,32.50,-2.41,5.74,0.39,648.96,578.50,836.00,244.00,02_09_2022
JFL,41.93,585.90,585.90,560.00,575.50,569.41,"19,475.00",576.00,"11,089,327.90",173,-0.50,25.90,-0.09,4.63,1.06,648.25,580.22,836.00,244.00,02_10_2022
JFL,39.80,585.90,585.90,560.00,575.50,569.41,"19,475.00",576.00,"11,089,327.90",173,-0.50,25.90,-0.09,4.63,1.06,648.25,580.22,836.00,244.00,02_11_2022
JFL,39.80,585.90,585.90,560.00,575.50,569.41,"19,475.00",576.00,"11,089,327.90",173,-0.50,25.90,-0.09,4.63,1.06,648.25,580.22,836.00,244.00,02_12_2022
JFL,46.75,554.00,554.00,530.00,540.00,543.54,"26,693.00",544.00,"14,508,775.80",223,-4.00,24.00,-0.74,4.53,-0.66,646.00,583.15,836.00,244.00,02_14_2022
JFL,41.91,542.00,559.00,540.00,557.00,549.62,"15,890.00",540.00,"8,733,396.40",150,17.00,19.00,3.15,3.52,1.33,645.09,584.69,836.00,244.00,02_15_2022
JFL,47.74,559.00,565.00,550.00,554.60,553.97,"8,722.00",557.00,"4,831,763.60",112,-2.40,15.00,-0.43,2.73,0.11,644.05,586.08,836.00,244.00,02_16_2022
JFL,42.46,547.00,562.00,547.00,555.00,553.92,"9,457.00",554.60,"5,238,416.50",90,0.40,15.00,0.07,2.74,0.19,643.26,587.45,836.00,244.00,02_17_2022
JFL,46.61,547.00,562.00,547.00,555.00,553.92,"9,457.00",554.60,"5,238,416.50",90,0.40,15.00,0.07,2.74,0.19,643.26,587.45,836.00,244.00,02_18_2022
JFL,46.61,547.00,562.00,547.00,555.00,553.92,"9,457.00",554.60,"5,238,416.50",90,0.40,15.00,0.07,2.74,0.19,643.26,587.45,836.00,244.00,02_19_2022
JFL,46.19,554.60,554.60,533.10,536.00,538.87,"18,488.00",555.00,"9,962,544.00",201,-19.00,21.50,-3.42,4.03,-0.53,642.28,588.56,836.00,244.00,02_20_2022
JFL,45.33,542.50,544.00,534.10,540.20,539.20,"8,820.00",536.00,"4,755,737.40",87,4.20,9.90,0.78,1.85,0.19,641.18,589.55,836.00,244.00,02_21_2022
JFL,42.45,550.90,556.00,545.00,545.20,550.38,"10,911.00",540.20,"6,005,142.80",117,5.00,11.00,0.93,2.02,-0.95,639.78,590.64,836.00,244.00,02_22_2022
JFL,47.33,556.00,563.00,545.00,546.00,551.16,"8,660.00",545.20,"4,773,030.60",88,0.80,18.00,0.15,3.30,-0.94,638.15,591.78,836.00,244.00,02_23_2022
JFL,43.17,555.00,555.00,528.00,534.00,533.20,"16,453.00",546.00,"8,772,752.50",156,-12.00,27.00,-2.20,5.11,0.15,636.42,592.84,836.00,244.00,02_24_2022
JFL,46.95,555.00,555.00,528.00,534.00,533.20,"16,453.00",546.00,"8,772,752.50",156,-12.00,27.00,-2.20,5.11,0.15,636.42,592.84,836.00,244.00,02_25_2022
JFL,46.95,555.00,555.00,528.00,534.00,533.20,"16,453.00",546.00,"8,772,752.50",156,-12.00,27.00,-2.20,5.11,0.15,636.42,592.84,836.00,244.00,02_26_2022
JFL,46.60,524.00,535.00,524.00,528.00,529.11,"7,345.00",534.00,"3,886,348.50",77,-6.00,11.00,-1.12,2.10,-0.21,635.01,593.79,836.00,244.00,02_27_2022
JFL,41.55,538.00,538.00,508.00,509.00,516.27,"10,207.00",528.00,"5,269,528.40",136,-19.00,30.00,-3.60,5.91,-1.43,633.05,594.73,836.00,244.00,02_28_2022
JFL,41.08,538.00,538.00,508.00,509.00,516.27,"10,207.00",528.00,"5,269,528.40",136,-19.00,30.00,-3.60,5.91,-1.43,633.05,594.73,836.00,244.00,03_01_2022
JFL,40.90,502.00,506.10,484.00,490.10,492.33,"16,524.00",509.00,"8,135,207.00",178,-18.90,22.10,-3.71,4.57,-0.45,630.50,595.49,836.00,244.00,03_02_2022
JFL,41.34,502.00,506.10,484.00,490.10,492.33,"16,524.00",509.00,"8,135,207.00",178,-18.90,22.10,-3.71,4.57,-0.45,630.50,595.49,836.00,244.00,03_03_2022
JFL,41.34,502.00,506.10,484.00,490.10,492.33,"16,524.00",509.00,"8,135,207.00",178,-18.90,22.10,-3.71,4.57,-0.45,630.50,595.49,836.00,244.00,03_04_2022
JFL,41.34,502.00,506.10,484.00,490.10,492.33,"16,524.00",509.00,"8,135,207.00",178,-18.90,22.10,-3.71,4.57,-0.45,630.50,595.49,836.00,244.00,03_05_2022
JFL,38.71,495.00,499.90,485.00,492.00,491.99,"9,776.00",490.10,"4,809,735.00",108,1.90,14.90,0.39,3.07,0.00,627.92,596.07,836.00,244.00,03_06_2022
JFL,38.91,498.00,498.00,488.00,489.20,491.26,"6,247.00",492.00,"3,068,880.30",82,-2.80,10.00,-0.57,2.05,-0.42,625.50,596.60,836.00,244.00,03_07_2022
JFL,35.90,498.00,498.00,488.00,489.20,491.26,"6,247.00",492.00,"3,068,880.30",82,-2.80,10.00,-0.57,2.05,-0.42,625.50,596.60,836.00,244.00,03_08_2022
JFL,35.45,485.00,490.00,460.00,470.00,471.82,"9,803.00",489.20,"4,625,227.60",142,-19.20,30.00,-3.92,6.52,-0.39,623.06,597.09,836.00,244.00,03_09_2022
JFL,37.21,461.10,495.50,461.00,494.90,483.37,"15,036.00",470.00,"7,267,965.30",172,24.90,34.50,5.30,7.48,2.33,621.47,597.51,836.00,244.00,03_10_2022
JFL,45.57,461.10,495.50,461.00,494.90,483.37,"15,036.00",470.00,"7,267,965.30",172,24.90,34.50,5.30,7.48,2.33,621.47,597.51,836.00,244.00,03_11_2022
JFL,45.57,461.10,495.50,461.00,494.90,483.37,"15,036.00",470.00,"7,267,965.30",172,24.90,34.50,5.30,7.48,2.33,621.47,597.51,836.00,244.00,03_12_2022
JFL,47.52,502.00,520.00,502.00,519.00,516.23,"19,858.00",494.90,"10,251,234.00",224,24.10,18.00,4.87,3.59,0.53,619.51,597.82,836.00,244.00,03_13_2022
JFL,53.15,526.00,529.30,510.00,521.00,519.22,"5,159.00",519.00,"2,678,646.00",49,2.00,19.30,0.39,3.78,0.34,617.73,598.28,836.00,244.00,03_14_2022
JFL,49.55,520.00,520.00,511.00,515.00,515.61,"6,246.00",521.00,"3,220,521.10",83,-6.00,9.00,-1.15,1.76,-0.12,616.09,598.62,836.00,244.00,03_15_2022
JFL,48.05,525.00,525.00,510.00,512.00,512.31,"6,468.00",515.00,"3,313,645.00",88,-3.00,15.00,-0.58,2.94,-0.06,614.45,598.70,836.00,244.00,03_16_2022
JFL,48.12,525.00,525.00,510.00,512.00,512.31,"6,468.00",515.00,"3,313,645.00",88,-3.00,15.00,-0.58,2.94,-0.06,614.45,598.70,836.00,244.00,03_17_2022
JFL,48.12,525.00,525.00,510.00,512.00,512.31,"6,468.00",515.00,"3,313,645.00",88,-3.00,15.00,-0.58,2.94,-0.06,614.45,598.70,836.00,244.00,03_18_2022
JFL,48.12,525.00,525.00,510.00,512.00,512.31,"6,468.00",515.00,"3,313,645.00",88,-3.00,15.00,-0.58,2.94,-0.06,614.45,598.70,836.00,244.00,03_19_2022
JFL,50.39,519.00,519.00,505.00,508.00,507.57,"4,556.00",512.00,"2,312,474.00",40,-4.00,14.00,-0.78,2.77,0.09,612.51,598.76,836.00,244.00,03_20_2022
JFL,39.54,507.00,529.90,498.10,525.10,515.92,"8,077.00",508.00,"4,167,086.40",83,17.10,31.80,3.37,6.38,1.75,610.65,599.04,836.00,244.00,03_21_2022
JFL,53.98,526.00,535.00,519.40,519.40,528.54,"7,875.00",525.10,"4,162,234.00",91,-5.70,15.60,-1.09,3.00,-1.76,608.89,599.43,836.00,244.00,03_22_2022
JFL,52.24,520.00,520.00,509.00,511.00,511.77,"5,052.00",519.40,"2,585,457.40",61,-8.40,11.00,-1.62,2.16,-0.15,607.21,599.71,836.00,244.00,03_23_2022
JFL,46.95,503.50,518.00,500.00,503.50,505.07,"9,578.00",511.00,"4,837,576.00",93,-7.50,18.00,-1.47,3.60,-0.31,605.79,600.11,836.00,244.00,03_24_2022
JFL,46.95,503.50,518.00,500.00,503.50,505.07,"9,578.00",511.00,"4,837,576.00",93,-7.50,18.00,-1.47,3.60,-0.31,605.79,600.11,836.00,244.00,03_24_2022
JFL,46.39,503.50,518.00,500.00,503.50,505.07,"9,578.00",511.00,"4,837,576.00",93,-7.50,18.00,-1.47,3.60,-0.31,605.79,600.11,836.00,244.00,03_25_2022
JFL,46.39,503.50,518.00,500.00,503.50,505.07,"9,578.00",511.00,"4,837,576.00",93,-7.50,18.00,-1.47,3.60,-0.31,605.79,600.11,836.00,244.00,03_26_2022
JFL,45.74,505.00,505.00,481.00,487.20,489.49,"9,926.00",503.50,"4,858,672.90",97,-16.30,24.00,-3.24,4.99,-0.47,604.74,600.60,836.00,244.00,03_27_2022
JFL,35.74,485.00,506.80,471.00,477.00,482.00,"7,503.00",487.20,"3,616,422.00",92,-10.20,35.80,-2.09,7.60,-1.05,603.76,600.80,836.00,244.00,03_28_2022
