Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MMFDB,49.18,"1,780.00","1,899.00","1,768.00","1,795.00","1,793.66","9,129.00","1,780.00","16,374,286.20",121,15.00,131.00,0.84,7.41,0.07,"1,715.42","1,589.84","2,095.00",865.00,09_01_2021
MMFDB,59.53,"1,725.00","1,725.00","1,675.00","1,699.00","1,684.89","2,129.00","1,700.00","3,587,129.30",36,-1.00,50.00,-0.06,2.99,0.83,"1,715.85","1,673.65","2,095.00",885.00,11_03_2021
MMFDB,52.10,"1,725.00","1,725.00","1,675.00","1,699.00","1,684.89","2,129.00","1,700.00","3,587,129.30",36,-1.00,50.00,-0.06,2.99,0.83,"1,715.85","1,673.65","2,095.00",885.00,11_05_2021
MMFDB,52.10,"1,725.00","1,725.00","1,675.00","1,699.00","1,684.89","2,129.00","1,700.00","3,587,129.30",36,-1.00,50.00,-0.06,2.99,0.83,"1,715.85","1,673.65","2,095.00",885.00,11_06_2021
MMFDB,52.10,"1,725.00","1,725.00","1,675.00","1,699.00","1,684.89","2,129.00","1,700.00","3,587,129.30",36,-1.00,50.00,-0.06,2.99,0.83,"1,715.85","1,673.65","2,095.00",885.00,11_07_2021
MMFDB,52.89,"1,680.00","1,685.00","1,667.20","1,668.00","1,674.16","1,856.00","1,699.00","3,107,242.60",29,-31.00,17.80,-1.82,1.07,-0.37,"1,715.42","1,674.30","2,095.00",885.00,11_08_2021
MMFDB,49.06,"1,651.00","1,684.00","1,600.00","1,610.00","1,633.93","4,065.00","1,668.00","6,641,918.10",69,-58.00,84.00,-3.48,5.25,-1.49,"1,714.83","1,674.04","2,095.00",885.00,11_09_2021
MMFDB,46.91,"1,651.00","1,684.00","1,600.00","1,610.00","1,633.93","4,065.00","1,668.00","6,641,918.10",69,-58.00,84.00,-3.48,5.25,-1.49,"1,714.83","1,674.04","2,095.00",885.00,11_10_2021
MMFDB,44.86,"1,585.00","1,610.00","1,561.00","1,600.00","1,579.39","3,147.00","1,610.00","4,970,351.00",54,-10.00,49.00,-0.62,3.14,1.29,"1,713.96","1,674.10","2,095.00",885.00,11_11_2021
MMFDB,43.64,"1,585.00","1,610.00","1,561.00","1,600.00","1,579.39","3,147.00","1,610.00","4,970,351.00",54,-10.00,49.00,-0.62,3.14,1.29,"1,713.96","1,674.10","2,095.00",885.00,11_12_2021
MMFDB,43.64,"1,585.00","1,610.00","1,561.00","1,600.00","1,579.39","3,147.00","1,610.00","4,970,351.00",54,-10.00,49.00,-0.62,3.14,1.29,"1,713.96","1,674.10","2,095.00",885.00,11_13_2021
MMFDB,41.59,"1,571.10","1,600.00","1,568.00","1,578.00","1,578.33","3,015.00","1,600.00","4,758,657.00",33,-22.00,32.00,-1.38,2.04,-0.02,"1,712.70","1,674.23","2,095.00",885.00,11_14_2021
MMFDB,42.17,"1,608.00","1,610.00","1,590.00","1,600.00","1,596.94",957.00,"1,578.00","1,528,273.00",20,22.00,20.00,1.39,1.26,0.19,"1,711.79","1,674.52","2,095.00",885.00,11_15_2021
MMFDB,39.04,"1,615.00","1,620.00","1,590.00","1,610.00","1,604.05","1,395.00","1,600.00","2,237,651.70",36,10.00,30.00,0.63,1.89,0.37,"1,710.79","1,674.98","2,095.00",885.00,11_16_2021
MMFDB,43.59,"1,610.00","1,625.00","1,607.00","1,607.00","1,615.45","2,464.00","1,610.00","3,980,471.50",39,-3.00,18.00,-0.19,1.12,-0.53,"1,709.51","1,675.80","2,095.00",885.00,11_17_2021
MMFDB,47.68,"1,639.10","1,639.10","1,580.60","1,580.60","1,584.56","3,932.00","1,607.00","6,230,484.10",55,-26.40,58.50,-1.64,3.70,-0.25,"1,708.06","1,675.68","2,095.00",885.00,11_18_2021
MMFDB,49.63,"1,639.10","1,639.10","1,580.60","1,580.60","1,584.56","3,932.00","1,607.00","6,230,484.10",55,-26.40,58.50,-1.64,3.70,-0.25,"1,708.06","1,675.68","2,095.00",885.00,11_19_2021
MMFDB,49.63,"1,639.10","1,639.10","1,580.60","1,580.60","1,584.56","3,932.00","1,607.00","6,230,484.10",55,-26.40,58.50,-1.64,3.70,-0.25,"1,708.06","1,675.68","2,095.00",885.00,11_20_2021
MMFDB,44.93,"1,580.00","1,599.00","1,580.00","1,580.00","1,590.83","1,878.00","1,580.60","2,987,574.00",20,-0.60,19.00,-0.04,1.20,-0.69,"1,706.19","1,674.66","2,095.00",895.00,11_21_2021
MMFDB,39.95,"1,580.00","1,580.00","1,550.00","1,570.00","1,558.78","1,612.00","1,580.00","2,512,758.00",29,-10.00,30.00,-0.63,1.94,0.71,"1,704.35","1,673.77","2,095.00",895.00,11_22_2021
MMFDB,38.32,"1,547.00","1,550.00","1,523.10","1,538.00","1,539.66","2,361.00","1,570.00","3,635,126.00",32,-32.00,26.90,-2.04,1.77,-0.11,"1,702.39","1,673.18","2,095.00",895.00,11_23_2021
MMFDB,40.28,"1,510.00","1,530.00","1,498.00","1,530.00","1,513.81","3,757.00","1,538.00","5,687,400.00",48,-8.00,32.00,-0.52,2.14,1.06,"1,700.44","1,672.24","2,095.00",895.00,11_24_2021
MMFDB,44.42,"1,530.00","1,545.00","1,511.00","1,516.10","1,526.81","1,684.00","1,530.00","2,571,140.00",34,-13.90,34.00,-0.91,2.25,-0.71,"1,698.36","1,671.22","2,095.00",895.00,11_25_2021
MMFDB,40.48,"1,530.00","1,545.00","1,511.00","1,516.10","1,526.81","1,684.00","1,530.00","2,571,140.00",34,-13.90,34.00,-0.91,2.25,-0.71,"1,698.36","1,671.22","2,095.00",895.00,11_26_2021
MMFDB,40.48,"1,530.00","1,545.00","1,511.00","1,516.10","1,526.81","1,684.00","1,530.00","2,571,140.00",34,-13.90,34.00,-0.91,2.25,-0.71,"1,698.36","1,671.22","2,095.00",895.00,11_27_2021
