Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NBF3,0.00,10.00,10.08,9.69,9.88,9.89,"113,070.00",0.00,"1,118,660.77",124,9.88,0.39,0.00,4.02,-0.14,-,-,10.08,9.69,11_22_2021
NBF3,50.49,9.69,10.07,9.69,10.05,10.01,"66,129.00",9.88,"661,793.20",78,0.17,0.38,1.72,3.92,0.42,-,-,10.08,9.69,11_23_2021
NBF3,57.66,9.85,10.03,9.68,10.00,9.88,"32,850.00",10.05,"324,457.00",49,-0.05,0.35,-0.50,3.62,1.23,-,-,10.08,9.68,11_24_2021
NBF3,57.62,9.81,10.06,9.76,10.00,9.96,"40,740.00",10.00,"405,700.00",56,0.00,0.30,0.00,3.07,0.42,-,-,10.08,9.68,11_25_2021
NBF3,58.81,9.81,10.06,9.76,10.00,9.96,"40,740.00",10.00,"405,700.00",56,0.00,0.30,0.00,3.07,0.42,-,-,10.08,9.68,11_26_2021
NBF3,58.81,9.81,10.06,9.76,10.00,9.96,"40,740.00",10.00,"405,700.00",56,0.00,0.30,0.00,3.07,0.42,-,-,10.08,9.68,11_27_2021
NBF3,55.91,9.90,9.99,9.77,9.88,9.86,"33,418.00",10.00,"329,572.65",46,-0.12,0.22,-1.20,2.25,0.18,-,-,10.08,9.68,11_28_2021
NBF3,46.80,9.69,10.08,9.69,9.80,9.87,"33,880.00",9.88,"334,435.00",55,-0.08,0.39,-0.81,4.02,-0.73,-,-,10.08,9.68,11_29_2021
NBF3,38.19,9.70,9.92,9.62,9.92,9.78,"26,500.00",9.80,"259,072.60",44,0.12,0.30,1.22,3.12,1.45,-,-,10.08,9.62,11_30_2021
NBF3,36.71,9.93,9.93,9.70,9.89,9.74,"50,530.00",9.92,"492,396.00",58,-0.03,0.23,-0.30,2.37,1.47,-,-,10.08,9.62,12_01_2021
NBF3,40.49,9.70,9.92,9.57,9.66,9.72,"52,960.00",9.89,"514,737.56",46,-0.23,0.35,-2.33,3.66,-0.61,-,-,10.08,9.57,12_02_2021
NBF3,39.47,9.70,9.92,9.57,9.66,9.72,"52,960.00",9.89,"514,737.56",46,-0.23,0.35,-2.33,3.66,-0.61,-,-,10.08,9.57,12_03_2021
NBF3,39.47,9.70,9.92,9.57,9.66,9.72,"52,960.00",9.89,"514,737.56",46,-0.23,0.35,-2.33,3.66,-0.61,-,-,10.08,9.57,12_04_2021
NBF3,38.57,9.55,9.68,9.40,9.66,9.62,"28,460.00",9.66,"273,854.90",54,0.00,0.28,0.00,2.98,0.39,-,-,10.08,9.40,12_05_2021
NBF3,35.05,9.50,9.78,9.40,9.70,9.50,"73,177.00",9.66,"695,146.80",55,0.04,0.38,0.41,4.04,2.07,-,-,10.08,9.40,12_06_2021
NBF3,39.28,9.75,9.80,9.60,9.63,9.66,"18,530.00",9.70,"179,015.00",24,-0.07,0.20,-0.72,2.08,-0.32,-,-,10.08,9.40,12_07_2021
NBF3,32.89,9.50,9.79,9.45,9.60,9.60,"70,640.00",9.63,"678,269.10",60,-0.03,0.34,-0.31,3.60,-0.02,-,-,10.08,9.40,12_08_2021
NBF3,46.25,9.43,9.79,9.42,9.52,9.55,"24,800.00",9.60,"236,805.00",34,-0.08,0.37,-0.83,3.93,-0.30,-,-,10.08,9.40,12_09_2021
NBF3,37.08,9.43,9.79,9.42,9.52,9.55,"24,800.00",9.60,"236,805.00",34,-0.08,0.37,-0.83,3.93,-0.30,-,-,10.08,9.40,12_10_2021
NBF3,37.08,9.43,9.79,9.42,9.52,9.55,"24,800.00",9.60,"236,805.00",34,-0.08,0.37,-0.83,3.93,-0.30,-,-,10.08,9.40,12_11_2021
NBF3,36.43,9.34,9.60,9.34,9.51,9.49,"23,890.00",9.52,"226,830.20",38,-0.01,0.26,-0.11,2.78,0.16,-,-,10.08,9.34,12_12_2021
NBF3,32.23,9.51,9.60,9.40,9.43,9.53,"42,210.00",9.51,"402,198.00",43,-0.08,0.20,-0.84,2.13,-1.04,-,-,10.08,9.34,12_13_2021
NBF3,37.47,9.32,9.49,9.32,9.41,9.46,"10,440.00",9.43,"98,782.60",14,-0.02,0.17,-0.21,1.82,-0.55,-,-,10.08,9.32,12_14_2021
NBF3,35.50,9.44,9.60,9.28,9.35,9.39,"32,520.00",9.41,"305,235.00",45,-0.06,0.32,-0.64,3.45,-0.39,-,-,10.08,9.28,12_15_2021
NBF3,38.35,9.32,9.50,9.28,9.31,9.32,"18,750.00",9.35,"174,723.50",29,-0.04,0.22,-0.43,2.37,-0.09,-,-,10.08,9.28,12_16_2021
NBF3,35.85,9.32,9.50,9.28,9.31,9.32,"18,750.00",9.35,"174,723.50",29,-0.04,0.22,-0.43,2.37,-0.09,-,-,10.08,9.28,12_17_2021
NBF3,35.85,9.32,9.50,9.28,9.31,9.32,"18,750.00",9.35,"174,723.50",29,-0.04,0.22,-0.43,2.37,-0.09,-,-,10.08,9.28,12_18_2021
NBF3,35.85,9.32,9.50,9.28,9.31,9.32,"18,750.00",9.35,"174,723.50",29,-0.04,0.22,-0.43,2.37,-0.09,-,-,10.08,9.28,12_19_2021
NBF3,33.17,9.14,9.49,9.13,9.49,9.19,"28,900.00",9.31,"265,586.40",49,0.18,0.36,1.93,3.94,3.16,-,-,10.08,9.13,12_20_2021
NBF3,44.42,9.31,9.51,9.31,9.51,9.41,"36,970.00",9.49,"347,897.40",44,0.02,0.20,0.21,2.15,1.05,-,-,10.08,9.13,12_21_2021
NBF3,51.87,9.32,9.53,9.32,9.53,9.43,"30,690.00",9.51,"289,401.40",41,0.02,0.21,0.21,2.25,1.05,-,-,10.08,9.13,12_22_2021
NBF3,50.51,9.50,9.72,9.17,9.41,9.48,"10,530.00",9.53,"99,793.00",31,-0.12,0.55,-1.26,6.00,-0.71,-,-,10.08,9.13,12_23_2021
NBF3,47.55,9.50,9.72,9.17,9.41,9.48,"10,530.00",9.53,"99,793.00",31,-0.12,0.55,-1.26,6.00,-0.71,-,-,10.08,9.13,12_24_2021
NBF3,47.55,9.50,9.72,9.17,9.41,9.48,"10,530.00",9.53,"99,793.00",31,-0.12,0.55,-1.26,6.00,-0.71,-,-,10.08,9.13,12_25_2021
NBF3,45.92,9.25,9.50,9.25,9.45,9.42,"36,800.00",9.41,"346,817.90",42,0.04,0.25,0.43,2.70,0.27,-,-,10.08,9.13,12_26_2021
NBF3,47.45,9.48,9.58,9.42,9.50,9.50,"44,850.00",9.45,"426,013.60",33,0.05,0.16,0.53,1.70,0.01,-,-,10.08,9.13,12_27_2021
NBF3,50.27,9.40,9.60,9.33,9.57,9.55,"47,150.00",9.50,"450,181.00",38,0.07,0.27,0.74,2.89,0.23,-,-,10.08,9.13,12_28_2021
NBF3,53.08,9.50,9.63,9.15,9.47,9.33,"35,200.00",9.57,"328,465.00",49,-0.10,0.48,-1.04,5.25,1.46,-,-,10.08,9.13,12_29_2021
NBF3,51.89,9.50,9.63,9.15,9.47,9.33,"35,200.00",9.57,"328,465.00",49,-0.10,0.48,-1.04,5.25,1.46,-,-,10.08,9.13,12_30_2021
NBF3,51.89,9.50,9.63,9.15,9.47,9.33,"35,200.00",9.57,"328,465.00",49,-0.10,0.48,-1.04,5.25,1.46,-,-,10.08,9.13,12_31_2021
NBF3,51.89,9.50,9.63,9.15,9.47,9.33,"35,200.00",9.57,"328,465.00",49,-0.10,0.48,-1.04,5.25,1.46,-,-,10.08,9.13,01_01_2022
NBF3,53.43,9.29,9.50,9.14,9.50,9.22,"60,550.00",9.47,"558,392.00",64,0.03,0.36,0.32,3.94,2.93,-,-,10.08,9.13,01_02_2022
NBF3,57.60,9.40,9.54,9.17,9.37,9.29,"48,140.00",9.50,"447,007.10",29,-0.13,0.37,-1.37,4.03,0.90,-,-,10.08,9.13,01_03_2022
NBF3,47.70,9.19,9.55,9.19,9.44,9.46,"44,030.00",9.37,"416,549.20",50,0.07,0.36,0.75,3.92,-0.22,-,-,10.08,9.13,01_04_2022
NBF3,43.67,9.35,9.65,9.26,9.46,9.55,"33,990.00",9.44,"324,479.80",42,0.02,0.39,0.21,4.21,-0.91,-,-,10.08,9.13,01_05_2022
NBF3,51.74,9.32,9.75,9.32,9.60,9.59,"48,880.00",9.46,"468,674.10",48,0.14,0.43,1.48,4.61,0.12,-,-,10.08,9.13,01_06_2022
NBF3,59.48,9.32,9.75,9.32,9.60,9.59,"48,880.00",9.46,"468,674.10",48,0.14,0.43,1.48,4.61,0.12,-,-,10.08,9.13,01_07_2022
NBF3,59.48,9.32,9.75,9.32,9.60,9.59,"48,880.00",9.46,"468,674.10",48,0.14,0.43,1.48,4.61,0.12,-,-,10.08,9.13,01_08_2022
NBF3,59.95,9.42,9.90,9.42,9.67,9.70,"68,710.00",9.60,"666,649.50",54,0.07,0.48,0.73,5.10,-0.33,-,-,10.08,9.13,01_09_2022
NBF3,62.99,9.60,9.94,9.50,9.84,9.75,"63,850.00",9.67,"622,571.60",65,0.17,0.44,1.76,4.63,0.91,-,-,10.08,9.13,01_10_2022
NBF3,64.85,9.80,10.03,9.55,9.83,9.77,"51,210.00",9.84,"500,111.00",59,-0.01,0.48,-0.10,5.03,0.65,-,-,10.08,9.13,01_11_2022
NBF3,65.11,9.65,10.02,9.51,9.57,9.73,"36,165.00",9.83,"351,754.00",46,-0.26,0.51,-2.64,5.36,-1.63,-,-,10.08,9.13,01_12_2022
NBF3,46.34,9.38,9.89,9.30,9.80,9.64,"36,050.00",9.57,"347,487.50",43,0.23,0.59,2.40,6.34,1.64,-,-,10.08,9.13,01_13_2022
NBF3,56.85,9.38,9.89,9.30,9.80,9.64,"36,050.00",9.57,"347,487.50",43,0.23,0.59,2.40,6.34,1.64,-,-,10.08,9.13,01_14_2022
NBF3,56.85,9.38,9.89,9.30,9.80,9.64,"36,050.00",9.57,"347,487.50",43,0.23,0.59,2.40,6.34,1.64,-,-,10.08,9.13,01_15_2022
NBF3,58.05,9.63,9.83,9.63,9.80,9.73,"60,766.00",9.80,"591,363.06",62,0.00,0.20,0.00,2.08,0.70,-,-,10.08,9.13,01_16_2022
NBF3,54.00,9.98,9.99,9.65,9.70,9.78,"23,010.00",9.80,"225,042.40",35,-0.10,0.34,-1.02,3.52,-0.83,-,-,10.08,9.13,01_17_2022
NBF3,48.04,9.60,9.76,9.55,9.62,9.65,"28,432.00",9.70,"274,393.25",62,-0.08,0.21,-0.82,2.20,-0.32,-,-,10.08,9.13,01_18_2022
NBF3,59.19,9.55,9.80,9.51,9.66,9.66,"21,410.00",9.62,"206,800.90",48,0.04,0.29,0.42,3.05,0.01,-,-,10.08,9.13,01_19_2022
NBF3,45.96,9.51,9.67,9.47,9.65,9.63,"44,550.00",9.66,"429,140.50",41,-0.01,0.20,-0.10,2.11,0.18,-,-,10.08,9.13,01_20_2022
NBF3,50.71,9.51,9.67,9.47,9.65,9.63,"44,550.00",9.66,"429,140.50",41,-0.01,0.20,-0.10,2.11,0.18,-,-,10.08,9.13,01_21_2022
NBF3,50.71,9.51,9.67,9.47,9.65,9.63,"44,550.00",9.66,"429,140.50",41,-0.01,0.20,-0.10,2.11,0.18,-,-,10.08,9.13,01_22_2022
NBF3,52.54,9.50,9.68,9.49,9.60,9.55,"28,310.00",9.65,"270,447.30",43,-0.05,0.19,-0.52,2.00,0.49,-,-,10.08,9.13,01_23_2022
NBF3,49.07,9.45,9.75,9.45,9.50,9.55,"61,340.00",9.60,"585,720.20",43,-0.10,0.30,-1.04,3.17,-0.51,-,-,10.08,9.13,01_24_2022
NBF3,51.63,9.50,9.60,9.33,9.50,9.54,"45,340.00",9.50,"432,528.70",57,0.00,0.27,0.00,2.89,-0.42,-,-,10.08,9.13,01_25_2022
NBF3,56.15,9.31,9.65,9.31,9.51,9.49,"19,140.00",9.50,"181,675.60",31,0.01,0.34,0.11,3.65,0.19,-,-,10.08,9.13,01_26_2022
NBF3,42.31,9.35,9.88,9.35,9.88,9.63,"91,200.00",9.51,"878,537.90",78,0.37,0.53,3.89,5.67,2.50,-,-,10.08,9.13,01_27_2022
NBF3,63.56,9.35,9.88,9.35,9.88,9.63,"91,200.00",9.51,"878,537.90",78,0.37,0.53,3.89,5.67,2.50,-,-,10.08,9.13,01_28_2022
NBF3,63.56,9.35,9.88,9.35,9.88,9.63,"91,200.00",9.51,"878,537.90",78,0.37,0.53,3.89,5.67,2.50,-,-,10.08,9.13,01_29_2022
NBF3,64.76,9.88,9.88,9.65,9.82,9.77,"85,590.00",9.88,"836,483.00",70,-0.06,0.23,-0.61,2.38,0.48,-,-,10.08,9.13,01_30_2022
NBF3,66.65,9.63,9.81,9.44,9.64,9.74,"36,351.00",9.82,"353,960.55",33,-0.18,0.37,-1.83,3.92,-1.01,-,-,10.08,9.13,01_31_2022
NBF3,59.94,9.60,9.89,9.60,9.70,9.74,"28,300.00",9.64,"275,683.00",54,0.06,0.29,0.62,3.02,-0.43,-,-,10.08,9.13,02_01_2022
NBF3,60.16,9.60,9.89,9.60,9.70,9.74,"28,300.00",9.64,"275,683.00",54,0.06,0.29,0.62,3.02,-0.43,-,-,10.08,9.13,02_02_2022
NBF3,60.10,9.70,9.87,9.65,9.70,9.69,"25,733.00",9.70,"249,266.11",50,0.00,0.22,0.00,2.28,0.14,-,-,10.08,9.13,02_03_2022
NBF3,42.27,9.70,9.87,9.65,9.70,9.69,"25,733.00",9.70,"249,266.11",50,0.00,0.22,0.00,2.28,0.14,-,-,10.08,9.13,02_04_2022
NBF3,42.27,9.70,9.87,9.65,9.70,9.69,"25,733.00",9.70,"249,266.11",50,0.00,0.22,0.00,2.28,0.14,-,-,10.08,9.13,02_05_2022
NBF3,42.12,9.55,9.95,9.54,9.60,9.80,"75,265.00",9.70,"737,507.90",57,-0.10,0.41,-1.03,4.30,-2.07,-,-,10.08,9.13,02_06_2022
NBF3,55.94,9.41,9.64,9.41,9.55,9.55,"19,880.00",9.60,"189,946.40",46,-0.05,0.23,-0.52,2.44,-0.05,-,-,10.08,9.13,02_07_2022
NBF3,39.48,9.54,9.74,9.54,9.61,9.62,"28,560.00",9.55,"274,844.10",61,0.06,0.20,0.63,2.10,-0.14,-,-,10.08,9.13,02_08_2022
NBF3,48.18,9.48,9.70,9.48,9.60,9.62,"13,720.00",9.61,"131,988.10",39,-0.01,0.22,-0.10,2.32,-0.21,-,-,10.08,9.13,02_09_2022
NBF3,46.65,9.60,9.69,9.55,9.58,9.58,"15,330.00",9.60,"146,816.75",38,-0.02,0.14,-0.21,1.47,0.03,-,-,10.08,9.13,02_10_2022
NBF3,39.18,9.60,9.69,9.55,9.58,9.58,"15,330.00",9.60,"146,816.75",38,-0.02,0.14,-0.21,1.47,0.03,-,-,10.08,9.13,02_11_2022
NBF3,39.18,9.60,9.69,9.55,9.58,9.58,"15,330.00",9.60,"146,816.75",38,-0.02,0.14,-0.21,1.47,0.03,-,-,10.08,9.13,02_12_2022
NBF3,58.19,9.51,9.69,9.35,9.54,9.56,"52,619.00",9.65,"503,008.87",45,-0.11,0.34,-1.14,3.64,-0.20,-,-,10.08,9.13,02_14_2022
NBF3,46.02,9.46,9.79,9.46,9.65,9.60,"23,100.00",9.54,"221,743.20",36,0.11,0.33,1.15,3.49,0.53,-,-,10.08,9.13,02_15_2022
NBF3,55.44,9.48,9.79,9.48,9.79,9.63,"5,700.00",9.65,"54,886.00",26,0.14,0.31,1.45,3.27,1.64,-,-,10.08,9.13,02_16_2022
NBF3,49.55,9.60,9.70,9.52,9.65,9.57,"13,650.00",9.79,"130,633.00",30,-0.14,0.18,-1.43,1.89,0.83,-,-,10.08,9.13,02_17_2022
NBF3,45.58,9.60,9.70,9.52,9.65,9.57,"13,650.00",9.79,"130,633.00",30,-0.14,0.18,-1.43,1.89,0.83,-,-,10.08,9.13,02_18_2022
NBF3,45.58,9.60,9.70,9.52,9.65,9.57,"13,650.00",9.79,"130,633.00",30,-0.14,0.18,-1.43,1.89,0.83,-,-,10.08,9.13,02_19_2022
NBF3,45.15,9.50,9.50,9.32,9.39,9.37,"19,810.00",9.65,"185,617.50",31,-0.26,0.18,-2.69,1.93,0.21,-,-,10.08,9.13,02_20_2022
NBF3,34.79,9.39,9.69,9.33,9.51,9.51,"39,070.00",9.39,"371,518.30",30,0.12,0.36,1.28,3.86,0.01,-,-,10.08,9.13,02_21_2022
NBF3,37.28,9.40,9.60,9.35,9.50,9.50,"24,420.00",9.51,"232,009.00",39,-0.01,0.25,-0.11,2.67,-0.01,-,-,10.08,9.13,02_22_2022
NBF3,46.91,9.40,9.45,9.37,9.40,9.41,"15,200.00",9.50,"143,002.00",25,-0.10,0.08,-1.05,0.85,-0.09,-,-,10.08,9.13,02_23_2022
NBF3,32.87,9.37,9.40,9.20,9.40,9.29,"24,700.00",9.40,"229,468.82",40,0.00,0.20,0.00,2.17,1.17,-,-,10.08,9.13,02_24_2022
NBF3,48.32,9.37,9.40,9.20,9.40,9.29,"24,700.00",9.40,"229,468.82",40,0.00,0.20,0.00,2.17,1.17,-,-,10.08,9.13,02_25_2022
NBF3,48.32,9.37,9.40,9.20,9.40,9.29,"24,700.00",9.40,"229,468.82",40,0.00,0.20,0.00,2.17,1.17,-,-,10.08,9.13,02_26_2022
NBF3,47.97,9.22,9.38,9.20,9.25,9.27,"54,675.00",9.40,"506,682.55",48,-0.15,0.18,-1.60,1.96,-0.19,-,-,10.08,9.13,02_27_2022
NBF3,43.17,9.20,9.48,9.20,9.30,9.30,"46,900.00",9.25,"436,294.20",35,0.05,0.28,0.54,3.04,-0.03,-,-,10.08,9.13,02_28_2022
NBF3,43.94,9.20,9.48,9.20,9.30,9.30,"46,900.00",9.25,"436,294.20",35,0.05,0.28,0.54,3.04,-0.03,-,-,10.08,9.13,03_01_2022
NBF3,43.77,9.13,9.37,8.95,8.99,9.07,"62,865.00",9.30,"570,000.05",52,-0.31,0.42,-3.33,4.69,-0.86,-,-,10.08,8.95,03_02_2022
NBF3,40.98,9.13,9.37,8.95,8.99,9.07,"62,865.00",9.30,"570,000.05",52,-0.31,0.42,-3.33,4.69,-0.86,-,-,10.08,8.95,03_03_2022
NBF3,40.98,9.13,9.37,8.95,8.99,9.07,"62,865.00",9.30,"570,000.05",52,-0.31,0.42,-3.33,4.69,-0.86,-,-,10.08,8.95,03_04_2022
NBF3,40.98,9.13,9.37,8.95,8.99,9.07,"62,865.00",9.30,"570,000.05",52,-0.31,0.42,-3.33,4.69,-0.86,-,-,10.08,8.95,03_05_2022
NBF3,38.35,9.00,9.15,8.90,8.97,8.99,"51,900.00",8.99,"466,520.50",41,-0.02,0.25,-0.22,2.81,-0.21,-,-,10.08,8.90,03_06_2022
NBF3,39.48,9.00,9.14,8.96,9.02,9.05,"33,200.00",8.97,"300,338.00",27,0.05,0.18,0.56,2.01,-0.29,-,-,10.08,8.90,03_07_2022
NBF3,39.76,9.00,9.14,8.96,9.02,9.05,"33,200.00",8.97,"300,338.00",27,0.05,0.18,0.56,2.01,-0.29,-,-,10.08,8.90,03_08_2022
NBF3,39.31,8.86,9.02,8.85,9.00,8.90,"35,130.00",9.02,"312,815.50",31,-0.02,0.17,-0.22,1.92,1.06,-,-,10.08,8.85,03_09_2022
NBF3,35.98,8.85,9.25,8.85,9.25,9.05,"13,965.00",9.00,"126,443.90",26,0.25,0.40,2.78,4.52,2.12,-,-,10.08,8.85,03_10_2022
NBF3,46.45,8.85,9.25,8.85,9.25,9.05,"13,965.00",9.00,"126,443.90",26,0.25,0.40,2.78,4.52,2.12,-,-,10.08,8.85,03_11_2022
NBF3,46.45,8.85,9.25,8.85,9.25,9.05,"13,965.00",9.00,"126,443.90",26,0.25,0.40,2.78,4.52,2.12,-,-,10.08,8.85,03_12_2022
NBF3,48.40,9.10,9.43,8.92,9.26,9.19,"37,750.00",9.25,"346,973.00",52,0.01,0.51,0.11,5.72,0.74,-,-,10.08,8.85,03_13_2022
NBF3,52.52,9.20,9.26,9.09,9.11,9.16,"3,850.00",9.26,"35,278.50",10,-0.15,0.17,-1.62,1.87,-0.58,-,-,10.08,8.85,03_14_2022
NBF3,46.98,9.12,9.30,9.08,9.30,9.25,"28,380.00",9.11,"262,582.00",31,0.19,0.22,2.09,2.42,0.51,-,-,10.08,8.85,03_15_2022
NBF3,51.16,9.12,9.48,9.12,9.33,9.32,"20,000.00",9.30,"186,399.00",32,0.03,0.36,0.32,3.95,0.11,-,-,10.08,8.85,03_16_2022
NBF3,49.15,9.12,9.48,9.12,9.33,9.32,"20,000.00",9.30,"186,399.00",32,0.03,0.36,0.32,3.95,0.11,-,-,10.08,8.85,03_17_2022
NBF3,49.15,9.12,9.48,9.12,9.33,9.32,"20,000.00",9.30,"186,399.00",32,0.03,0.36,0.32,3.95,0.11,-,-,10.08,8.85,03_18_2022
NBF3,49.15,9.12,9.48,9.12,9.33,9.32,"20,000.00",9.30,"186,399.00",32,0.03,0.36,0.32,3.95,0.11,-,-,10.08,8.85,03_19_2022
NBF3,51.42,9.33,9.49,9.13,9.25,9.22,"9,990.00",9.33,"92,129.00",29,-0.08,0.36,-0.86,3.94,0.30,-,-,10.08,8.85,03_20_2022
NBF3,44.38,9.08,9.25,9.08,9.20,9.16,"11,350.00",9.25,"104,003.50",26,-0.05,0.17,-0.54,1.87,0.40,-,-,10.08,8.85,03_21_2022
NBF3,51.94,9.19,9.37,9.03,9.25,9.19,"14,270.00",9.20,"131,168.06",34,0.05,0.34,0.54,3.77,0.63,-,-,10.08,8.85,03_22_2022
NBF3,46.36,9.10,9.28,9.10,9.11,9.14,"25,870.00",9.25,"236,526.00",31,-0.14,0.18,-1.51,1.98,-0.36,-,-,10.08,8.85,03_23_2022
NBF3,43.99,9.11,9.28,9.09,9.12,9.18,"28,850.00",9.11,"264,858.00",20,0.01,0.19,0.11,2.09,-0.66,-,-,10.08,8.85,03_24_2022
NBF3,43.99,9.11,9.28,9.09,9.12,9.18,"28,850.00",9.11,"264,858.00",20,0.01,0.19,0.11,2.09,-0.66,-,-,10.08,8.85,03_24_2022
NBF3,41.05,9.11,9.28,9.09,9.12,9.18,"28,850.00",9.11,"264,858.00",20,0.01,0.19,0.11,2.09,-0.66,-,-,10.08,8.85,03_25_2022
NBF3,41.05,9.11,9.28,9.09,9.12,9.18,"28,850.00",9.11,"264,858.00",20,0.01,0.19,0.11,2.09,-0.66,-,-,10.08,8.85,03_26_2022
NBF3,40.40,9.10,9.20,8.96,9.00,9.07,"49,460.00",9.12,"448,727.00",44,-0.12,0.24,-1.32,2.68,-0.81,-,-,10.08,8.85,03_27_2022
NBF3,42.90,8.85,9.17,8.85,8.97,8.99,"16,415.00",9.00,"147,570.05",31,-0.03,0.32,-0.33,3.62,-0.22,-,-,10.08,8.85,03_28_2022
NBF3,37.45,8.90,9.14,8.90,9.00,9.06,"14,940.00",8.97,"135,356.00",21,0.03,0.24,0.33,2.70,-0.67,-,-,10.08,8.85,03_29_2022
NBF3,41.09,9.00,9.18,8.90,9.12,9.02,"11,350.00",9.00,"102,406.00",28,0.12,0.28,1.33,3.15,1.07,-,-,10.08,8.85,03_30_2022
NBF3,45.11,9.23,9.23,9.00,9.00,9.04,"5,070.00",9.12,"45,814.00",14,-0.12,0.23,-1.32,2.56,-0.40,-,-,10.08,8.85,03_31_2022
NBF3,42.05,9.23,9.23,9.00,9.00,9.04,"5,070.00",9.12,"45,814.00",14,-0.12,0.23,-1.32,2.56,-0.40,-,-,10.08,8.85,04_01_2022
NBF3,42.05,9.23,9.23,9.00,9.00,9.04,"5,070.00",9.12,"45,814.00",14,-0.12,0.23,-1.32,2.56,-0.40,-,-,10.08,8.85,04_02_2022
NBF3,40.35,9.00,9.00,8.85,8.90,8.88,"26,500.00",9.00,"235,366.50",48,-0.10,0.15,-1.11,1.69,0.21,-,-,10.08,8.85,04_03_2022
NBF3,43.19,8.85,8.91,8.74,8.86,8.80,"23,550.00",8.90,"207,352.50",50,-0.04,0.17,-0.45,1.95,0.62,-,-,10.08,8.74,04_04_2022
NBF3,34.44,8.75,8.84,8.72,8.83,8.77,"18,680.00",8.86,"163,915.30",38,-0.03,0.12,-0.34,1.38,0.62,-,-,10.08,8.72,04_05_2022
NBF3,30.93,8.78,8.94,8.74,8.79,8.84,"29,823.00",8.83,"263,529.80",41,-0.04,0.20,-0.45,2.29,-0.53,-,-,10.08,8.72,04_06_2022
NBF3,34.86,8.70,9.00,8.70,9.00,8.80,"27,940.00",8.79,"245,748.40",49,0.21,0.30,2.39,3.45,2.27,-,-,10.08,8.70,04_07_2022
NBF3,43.87,8.70,9.00,8.70,9.00,8.80,"27,940.00",8.79,"245,748.40",49,0.21,0.30,2.39,3.45,2.27,-,-,10.08,8.70,04_08_2022
NBF3,43.87,8.70,9.00,8.70,9.00,8.80,"27,940.00",8.79,"245,748.40",49,0.21,0.30,2.39,3.45,2.27,-,-,10.08,8.70,04_09_2022
NBF3,43.87,8.70,9.00,8.70,9.00,8.80,"27,940.00",8.79,"245,748.40",49,0.21,0.30,2.39,3.45,2.27,-,-,10.08,8.70,04_10_2022
NBF3,43.54,9.01,9.01,8.73,8.83,8.82,"35,910.00",9.00,"316,704.70",35,-0.17,0.28,-1.89,3.21,0.12,-,-,10.08,8.70,04_11_2022
NBF3,46.14,8.80,8.80,8.69,8.70,8.72,"30,670.00",8.83,"267,443.30",35,-0.13,0.11,-1.47,1.27,-0.23,-,-,10.08,8.69,04_12_2022
NBF3,40.76,8.87,9.04,8.70,8.80,8.78,"34,710.00",8.70,"304,927.10",35,0.10,0.34,1.15,3.91,0.17,-,-,10.08,8.69,04_13_2022
NBF3,46.42,8.87,9.04,8.70,8.80,8.78,"34,710.00",8.70,"304,927.10",35,0.10,0.34,1.15,3.91,0.17,-,-,10.08,8.69,04_14_2022
NBF3,46.42,8.87,9.04,8.70,8.80,8.78,"34,710.00",8.70,"304,927.10",35,0.10,0.34,1.15,3.91,0.17,-,-,10.08,8.69,04_15_2022
NBF3,46.42,8.87,9.04,8.70,8.80,8.78,"34,710.00",8.70,"304,927.10",35,0.10,0.34,1.15,3.91,0.17,-,-,10.08,8.69,04_16_2022
NBF3,49.00,8.65,8.90,8.64,8.88,8.79,"13,230.00",8.80,"116,327.60",32,0.08,0.26,0.91,3.01,0.98,-,-,10.08,8.64,04_17_2022
NBF3,37.38,8.75,8.90,8.58,8.90,8.71,"10,800.00",8.88,"94,072.20",21,0.02,0.32,0.23,3.73,2.13,-,-,10.08,8.58,04_18_2022
NBF3,42.39,8.73,8.90,8.61,8.90,8.66,"31,980.00",8.90,"276,999.54",37,0.00,0.29,0.00,3.37,2.68,-,-,10.08,8.58,04_19_2022
NBF3,48.31,8.90,8.90,8.60,8.77,8.70,"13,360.00",8.90,"116,227.60",25,-0.13,0.30,-1.46,3.49,0.80,-,-,10.08,8.58,04_20_2022
NBF3,37.62,8.77,8.77,8.33,8.50,8.52,"26,840.00",8.77,"228,639.00",40,-0.27,0.44,-3.08,5.28,-0.22,-,-,10.08,8.33,04_21_2022
NBF3,34.59,8.77,8.77,8.33,8.50,8.52,"26,840.00",8.77,"228,639.00",40,-0.27,0.44,-3.08,5.28,-0.22,-,-,10.08,8.33,04_22_2022
NBF3,34.59,8.77,8.77,8.33,8.50,8.52,"26,840.00",8.77,"228,639.00",40,-0.27,0.44,-3.08,5.28,-0.22,-,-,10.08,8.33,04_23_2022
NBF3,35.11,8.50,9.00,8.50,9.00,8.65,"27,990.00",8.50,"242,202.50",28,0.50,0.50,5.88,5.88,3.85,-,-,10.08,8.33,04_24_2022
NBF3,47.33,9.08,9.10,9.00,9.00,9.05,"26,401.00",9.00,"238,815.60",30,0.00,0.10,0.00,1.11,-0.51,-,-,10.08,8.33,04_25_2022
