Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
MEN,57.12,"1,366.20","1,400.00","1,313.00","1,330.00","1,356.35","16,427.00","1,394.00","22,280,809.00",256,-64.00,87.00,-4.59,6.63,-1.98,882.42,-,"1,530.00",343.00,09_01_2021
MEN,57.17,"1,230.00","1,244.00","1,210.00","1,239.00","1,226.07","1,091.00","1,245.00","1,337,638.40",59,-6.00,34.00,-0.48,2.81,1.04,"1,038.36",925.41,"1,530.00",343.00,11_03_2021
MEN,48.40,"1,230.00","1,244.00","1,210.00","1,239.00","1,226.07","1,091.00","1,245.00","1,337,638.40",59,-6.00,34.00,-0.48,2.81,1.04,"1,038.36",925.41,"1,530.00",343.00,11_05_2021
MEN,48.40,"1,230.00","1,244.00","1,210.00","1,239.00","1,226.07","1,091.00","1,245.00","1,337,638.40",59,-6.00,34.00,-0.48,2.81,1.04,"1,038.36",925.41,"1,530.00",343.00,11_06_2021
MEN,48.40,"1,230.00","1,244.00","1,210.00","1,239.00","1,226.07","1,091.00","1,245.00","1,337,638.40",59,-6.00,34.00,-0.48,2.81,1.04,"1,038.36",925.41,"1,530.00",343.00,11_07_2021
MEN,49.19,"1,215.00","1,265.00","1,191.00","1,230.00","1,205.80","17,742.00","1,239.00","21,393,295.50",131,-9.00,74.00,-0.73,6.21,1.97,"1,042.27",928.49,"1,530.00",343.00,11_08_2021
MEN,59.41,"1,250.00","1,279.00","1,159.00","1,180.00","1,198.24","3,823.00","1,230.00","4,580,872.60",105,-50.00,120.00,-4.07,10.35,-1.55,"1,045.63",931.19,"1,530.00",343.00,11_09_2021
MEN,47.26,"1,250.00","1,279.00","1,159.00","1,180.00","1,198.24","3,823.00","1,230.00","4,580,872.60",105,-50.00,120.00,-4.07,10.35,-1.55,"1,045.63",931.19,"1,530.00",343.00,11_10_2021
MEN,45.21,"1,157.10","1,198.00","1,150.00","1,172.00","1,168.86","3,452.00","1,180.00","4,034,892.60",91,-8.00,48.00,-0.68,4.17,0.27,"1,048.76",933.95,"1,530.00",343.00,11_11_2021
MEN,44.30,"1,157.10","1,198.00","1,150.00","1,172.00","1,168.86","3,452.00","1,180.00","4,034,892.60",91,-8.00,48.00,-0.68,4.17,0.27,"1,048.76",933.95,"1,530.00",343.00,11_12_2021
MEN,44.30,"1,157.10","1,198.00","1,150.00","1,172.00","1,168.86","3,452.00","1,180.00","4,034,892.60",91,-8.00,48.00,-0.68,4.17,0.27,"1,048.76",933.95,"1,530.00",343.00,11_13_2021
MEN,42.25,"1,195.40","1,219.00","1,144.00","1,199.00","1,187.32","8,577.00","1,172.00","10,183,681.00",175,27.00,75.00,2.30,6.56,0.97,"1,052.02",937.03,"1,530.00",343.00,11_14_2021
MEN,47.83,"1,175.10","1,222.50","1,155.00","1,165.00","1,168.62","6,479.00","1,199.00","7,571,485.90",91,-34.00,67.50,-2.84,5.84,-0.31,"1,054.69",939.95,"1,530.00",343.00,11_15_2021
MEN,46.20,"1,150.00","1,200.00","1,107.00","1,178.00","1,154.27","5,147.00","1,165.00","5,941,039.00",107,13.00,93.00,1.12,8.40,2.01,"1,057.51",943.05,"1,530.00",343.00,11_16_2021
MEN,47.62,"1,180.00","1,259.00","1,180.00","1,225.00","1,212.56","13,217.00","1,178.00","16,026,397.60",177,47.00,79.00,3.99,6.69,1.02,"1,060.80",946.45,"1,530.00",343.00,11_17_2021
MEN,60.25,"1,200.50","1,210.00","1,170.00","1,170.00","1,191.63","2,430.00","1,225.00","2,895,657.00",79,-55.00,40.00,-4.49,3.42,-1.85,"1,063.59",949.38,"1,530.00",343.00,11_18_2021
MEN,42.78,"1,200.50","1,210.00","1,170.00","1,170.00","1,191.63","2,430.00","1,225.00","2,895,657.00",79,-55.00,40.00,-4.49,3.42,-1.85,"1,063.59",949.38,"1,530.00",343.00,11_19_2021
MEN,42.78,"1,200.50","1,210.00","1,170.00","1,170.00","1,191.63","2,430.00","1,225.00","2,895,657.00",79,-55.00,40.00,-4.49,3.42,-1.85,"1,063.59",949.38,"1,530.00",343.00,11_20_2021
MEN,38.08,"1,151.10","1,193.40","1,151.10","1,190.00","1,171.58","1,670.00","1,170.00","1,956,534.50",103,20.00,42.30,1.71,3.67,1.55,"1,066.40",952.38,"1,530.00",343.00,11_21_2021
MEN,45.37,"1,169.00","1,201.00","1,168.00","1,196.00","1,186.24","1,890.00","1,190.00","2,241,999.00",91,6.00,33.00,0.50,2.83,0.82,"1,069.36",955.49,"1,530.00",343.00,11_22_2021
MEN,45.52,"1,173.00","1,173.00","1,149.00","1,168.00","1,156.36","2,735.00","1,196.00","3,162,639.00",88,-28.00,24.00,-2.34,2.09,1.00,"1,072.23",958.37,"1,530.00",343.00,11_23_2021
MEN,39.24,"1,191.00","1,191.00","1,123.00","1,170.00","1,138.44","13,985.00","1,168.00","15,921,126.00",81,2.00,68.00,0.17,6.06,2.70,"1,075.06",961.26,"1,530.00",343.00,11_24_2021
MEN,49.48,"1,190.00","1,190.00","1,150.00","1,168.00","1,174.05","3,546.00","1,170.00","4,163,173.00",102,-2.00,40.00,-0.17,3.48,-0.52,"1,077.98",964.15,"1,530.00",343.00,11_25_2021
MEN,47.61,"1,190.00","1,190.00","1,150.00","1,168.00","1,174.05","3,546.00","1,170.00","4,163,173.00",102,-2.00,40.00,-0.17,3.48,-0.52,"1,077.98",964.15,"1,530.00",343.00,11_26_2021
MEN,47.61,"1,190.00","1,190.00","1,150.00","1,168.00","1,174.05","3,546.00","1,170.00","4,163,173.00",102,-2.00,40.00,-0.17,3.48,-0.52,"1,077.98",964.15,"1,530.00",343.00,11_27_2021
MEN,44.71,"1,146.00","1,148.00","1,087.80","1,100.00","1,123.46","6,141.00","1,168.00","6,899,182.00",80,-68.00,60.20,-5.82,5.53,-2.13,"1,080.40",966.68,"1,530.00",343.00,11_28_2021
MEN,42.82,"1,078.30","1,121.70","1,078.30","1,096.00","1,101.80","1,420.00","1,100.00","1,564,550.00",59,-4.00,43.40,-0.36,4.02,-0.53,"1,082.54",969.18,"1,530.00",343.00,11_29_2021
MEN,39.25,"1,090.00","1,154.00","1,070.00","1,119.00","1,101.40","2,427.00","1,096.00","2,673,096.60",77,23.00,84.00,2.10,7.85,1.57,"1,085.14",971.83,"1,530.00",343.00,11_30_2021
MEN,41.13,"1,115.00","1,137.00","1,100.00","1,100.00","1,119.63","1,610.00","1,119.00","1,802,600.00",59,-19.00,37.00,-1.70,3.36,-1.78,"1,087.72",974.48,"1,530.00",343.00,12_01_2021
MEN,38.16,"1,105.00","1,120.00","1,075.00","1,101.90","1,097.46","4,405.00","1,100.00","4,834,301.00",90,1.90,45.00,0.17,4.19,0.40,"1,090.40",977.13,"1,530.00",343.00,12_02_2021
MEN,51.36,"1,105.00","1,120.00","1,075.00","1,101.90","1,097.46","4,405.00","1,100.00","4,834,301.00",90,1.90,45.00,0.17,4.19,0.40,"1,090.40",977.13,"1,530.00",343.00,12_03_2021
MEN,51.36,"1,105.00","1,120.00","1,075.00","1,101.90","1,097.46","4,405.00","1,100.00","4,834,301.00",90,1.90,45.00,0.17,4.19,0.40,"1,090.40",977.13,"1,530.00",343.00,12_04_2021
MEN,50.46,"1,118.00","1,118.00","1,033.00","1,065.00","1,052.65","4,860.00","1,101.90","5,115,872.00",113,-36.90,85.00,-3.35,8.23,1.16,"1,092.45",979.61,"1,530.00",343.00,12_05_2021
MEN,45.30,"1,085.90","1,085.90","1,007.00","1,050.00","1,038.01","4,490.00","1,065.00","4,660,647.00",90,-15.00,78.90,-1.41,7.84,1.14,"1,094.57",981.98,"1,530.00",343.00,12_06_2021
MEN,42.32,"1,071.00","1,071.00","1,037.70","1,055.00","1,052.70","4,801.00","1,050.00","5,054,035.00",62,5.00,33.30,0.48,3.21,0.22,"1,096.85",984.27,"1,530.00",343.00,12_07_2021
MEN,43.77,"1,035.00","1,055.00","1,010.90","1,053.60","1,034.46","2,515.00","1,055.00","2,601,669.00",49,-1.40,44.10,-0.13,4.36,1.82,"1,099.07",986.58,"1,530.00",343.00,12_08_2021
MEN,37.78,"1,033.00","1,053.60","1,000.00","1,013.10","1,010.74","3,074.00","1,053.60","3,107,018.00",74,-40.50,53.60,-3.84,5.36,0.23,"1,100.91",988.66,"1,530.00",343.00,12_09_2021
MEN,38.47,"1,033.00","1,053.60","1,000.00","1,013.10","1,010.74","3,074.00","1,053.60","3,107,018.00",74,-40.50,53.60,-3.84,5.36,0.23,"1,100.91",988.66,"1,530.00",343.00,12_10_2021
MEN,38.47,"1,033.00","1,053.60","1,000.00","1,013.10","1,010.74","3,074.00","1,053.60","3,107,018.00",74,-40.50,53.60,-3.84,5.36,0.23,"1,100.91",988.66,"1,530.00",343.00,12_11_2021
MEN,37.82,"1,013.50","1,033.70",953.00,996.00,993.04,"13,255.00","1,013.10","13,162,711.50",91,-17.10,80.70,-1.69,8.47,0.30,"1,102.66",990.54,"1,530.00",343.00,12_12_2021
MEN,42.02,977.00,"1,036.00",925.00,"1,035.00",978.80,"9,061.00",996.00,"8,868,877.00",103,39.00,111.00,3.92,12.00,5.43,"1,104.09",992.42,"1,530.00",343.00,12_13_2021
MEN,46.03,"1,015.00","1,064.80",995.00,"1,064.80","1,042.10","4,128.00","1,035.00","4,301,796.60",56,29.80,69.80,2.88,7.02,2.13,"1,105.04",994.56,"1,530.00",343.00,12_14_2021
MEN,48.79,"1,085.90","1,085.90","1,012.00","1,039.90","1,029.92","2,871.00","1,064.80","2,956,896.50",73,-24.90,73.90,-2.34,7.30,0.96,"1,105.72",996.60,"1,530.00",343.00,12_15_2021
MEN,46.30,"1,019.20","1,081.80",999.00,"1,081.80","1,025.08","5,660.00","1,039.90","5,801,960.50",51,41.90,82.80,4.03,8.29,5.24,"1,106.61",998.90,"1,530.00",343.00,12_16_2021
MEN,51.45,"1,019.20","1,081.80",999.00,"1,081.80","1,025.08","5,660.00","1,039.90","5,801,960.50",51,41.90,82.80,4.03,8.29,5.24,"1,106.61",998.90,"1,530.00",343.00,12_17_2021
MEN,51.45,"1,019.20","1,081.80",999.00,"1,081.80","1,025.08","5,660.00","1,039.90","5,801,960.50",51,41.90,82.80,4.03,8.29,5.24,"1,106.61",998.90,"1,530.00",343.00,12_18_2021
MEN,51.45,"1,019.20","1,081.80",999.00,"1,081.80","1,025.08","5,660.00","1,039.90","5,801,960.50",51,41.90,82.80,4.03,8.29,5.24,"1,106.61",998.90,"1,530.00",343.00,12_19_2021
MEN,48.76,"1,065.00","1,065.00",985.00,"1,015.10","1,020.23","2,560.00","1,081.80","2,611,799.00",63,-66.70,80.00,-6.17,8.12,-0.51,"1,107.28","1,000.80","1,530.00",343.00,12_20_2021
MEN,38.69,997.20,"1,090.00",997.20,"1,090.00","1,027.33","1,304.00","1,015.10","1,339,642.00",69,74.90,92.80,7.38,9.31,5.75,"1,108.84","1,003.08","1,530.00",343.00,12_21_2021
MEN,46.54,"1,089.90","1,120.00","1,006.00","1,115.00","1,079.82","4,475.00","1,090.00","4,832,215.00",78,25.00,114.00,2.29,11.33,3.15,"1,110.84","1,005.47","1,530.00",365.00,12_22_2021
MEN,51.64,"1,110.00","1,125.00","1,039.80","1,125.00","1,089.55","3,731.00","1,115.00","4,065,095.00",96,10.00,85.20,0.90,8.19,3.15,"1,113.09","1,007.74","1,530.00",365.00,12_23_2021
MEN,52.25,"1,110.00","1,125.00","1,039.80","1,125.00","1,089.55","3,731.00","1,115.00","4,065,095.00",96,10.00,85.20,0.90,8.19,3.15,"1,113.09","1,007.74","1,530.00",365.00,12_24_2021
MEN,52.25,"1,110.00","1,125.00","1,039.80","1,125.00","1,089.55","3,731.00","1,115.00","4,065,095.00",96,10.00,85.20,0.90,8.19,3.15,"1,113.09","1,007.74","1,530.00",365.00,12_25_2021
MEN,50.63,"1,135.00","1,135.00","1,083.00","1,090.00","1,113.61","7,161.00","1,125.00","7,974,580.00",61,-35.00,52.00,-3.11,4.80,-2.17,"1,114.78","1,009.88","1,530.00",371.00,12_26_2021
MEN,54.29,"1,069.00","1,111.00","1,030.00","1,030.00","1,053.58","2,330.00","1,090.00","2,454,831.00",67,-60.00,81.00,-5.50,7.86,-2.29,"1,116.20","1,011.73","1,530.00",371.00,12_27_2021
MEN,33.53,"1,009.40","1,065.90",992.00,"1,065.90","1,054.34","3,544.00","1,030.00","3,736,595.60",64,35.90,73.90,3.49,7.45,1.08,"1,117.91","1,013.86","1,530.00",371.00,12_28_2021
MEN,34.72,"1,080.00","1,087.20","1,023.40","1,048.60","1,060.23","2,750.00","1,065.90","2,915,645.00",61,-17.30,63.80,-1.62,6.23,-1.11,"1,119.37","1,015.85","1,530.00",371.00,12_29_2021
MEN,34.90,"1,080.00","1,087.20","1,023.40","1,048.60","1,060.23","2,750.00","1,065.90","2,915,645.00",61,-17.30,63.80,-1.62,6.23,-1.11,"1,119.37","1,015.85","1,530.00",371.00,12_30_2021
MEN,34.90,"1,080.00","1,087.20","1,023.40","1,048.60","1,060.23","2,750.00","1,065.90","2,915,645.00",61,-17.30,63.80,-1.62,6.23,-1.11,"1,119.37","1,015.85","1,530.00",371.00,12_31_2021
MEN,34.90,"1,080.00","1,087.20","1,023.40","1,048.60","1,060.23","2,750.00","1,065.90","2,915,645.00",61,-17.30,63.80,-1.62,6.23,-1.11,"1,119.37","1,015.85","1,530.00",371.00,01_01_2022
MEN,36.43,"1,030.00","1,070.00","1,020.00","1,051.00","1,051.31","1,790.00","1,048.60","1,881,840.00",58,2.40,50.00,0.23,4.90,-0.03,"1,120.99","1,017.86","1,530.00",371.00,01_02_2022
MEN,36.01,"1,032.00","1,086.30","1,032.00","1,065.00","1,079.99","6,020.00","1,051.00","6,501,530.00",71,14.00,54.30,1.33,5.26,-1.41,"1,122.84","1,019.88","1,530.00",371.00,01_03_2022
MEN,59.09,"1,043.70","1,084.00","1,027.00","1,075.00","1,063.80","1,190.00","1,065.00","1,265,925.00",73,10.00,57.00,0.94,5.55,1.04,"1,124.84","1,021.94","1,530.00",371.00,01_04_2022
MEN,51.48,"1,060.00","1,120.00","1,060.00","1,064.40","1,092.33","3,867.00","1,075.00","4,224,058.20",77,-10.60,60.00,-0.99,5.66,-2.62,"1,126.76","1,023.92","1,530.00",371.00,01_05_2022
MEN,56.56,"1,065.00","1,149.00","1,065.00","1,120.00","1,119.39","12,273.00","1,064.40","13,738,227.60",132,55.60,84.00,5.22,7.89,0.05,"1,129.13","1,026.18","1,530.00",372.00,01_06_2022
MEN,60.67,"1,065.00","1,149.00","1,065.00","1,120.00","1,119.39","12,273.00","1,064.40","13,738,227.60",132,55.60,84.00,5.22,7.89,0.05,"1,129.13","1,026.18","1,530.00",372.00,01_07_2022
MEN,60.67,"1,065.00","1,149.00","1,065.00","1,120.00","1,119.39","12,273.00","1,064.40","13,738,227.60",132,55.60,84.00,5.22,7.89,0.05,"1,129.13","1,026.18","1,530.00",372.00,01_08_2022
MEN,61.14,"1,142.40","1,203.60","1,130.00","1,160.00","1,162.54","8,523.00","1,120.00","9,908,321.00",140,40.00,73.60,3.57,6.51,-0.22,"1,131.91","1,028.58","1,530.00",374.00,01_09_2022
MEN,62.75,"1,163.00","1,221.90","1,155.00","1,220.00","1,196.20","10,920.00","1,160.00","13,062,489.00",141,60.00,66.90,5.17,5.79,1.95,"1,134.84","1,031.29","1,530.00",374.00,01_10_2022
MEN,64.89,"1,197.00","1,220.00","1,175.00","1,177.00","1,187.65","16,277.00","1,220.00","19,331,341.30",175,-43.00,45.00,-3.52,3.83,-0.90,"1,137.59","1,033.62","1,530.00",374.00,01_11_2022
MEN,66.04,"1,170.00","1,200.00","1,150.00","1,159.00","1,166.90","14,940.00","1,177.00","17,433,505.30",110,-18.00,50.00,-1.53,4.35,-0.68,"1,140.12","1,035.43","1,530.00",374.00,01_12_2022
MEN,58.33,"1,160.00","1,200.00","1,145.00","1,200.00","1,175.20","3,935.00","1,159.00","4,624,394.00",94,41.00,55.00,3.54,4.80,2.07,"1,142.84","1,037.53","1,530.00",376.00,01_13_2022
MEN,55.15,"1,160.00","1,200.00","1,145.00","1,200.00","1,175.20","3,935.00","1,159.00","4,624,394.00",94,41.00,55.00,3.54,4.80,2.07,"1,142.84","1,037.53","1,530.00",376.00,01_14_2022
MEN,55.15,"1,160.00","1,200.00","1,145.00","1,200.00","1,175.20","3,935.00","1,159.00","4,624,394.00",94,41.00,55.00,3.54,4.80,2.07,"1,142.84","1,037.53","1,530.00",376.00,01_15_2022
MEN,56.35,"1,176.00","1,256.70","1,176.00","1,237.00","1,215.72","38,488.00","1,200.00","46,790,645.00",216,37.00,80.70,3.08,6.86,1.72,"1,145.87","1,039.93","1,530.00",379.00,01_16_2022
MEN,59.88,"1,212.30","1,319.00","1,189.00","1,300.00","1,240.63","39,877.00","1,237.00","49,472,429.50",300,63.00,130.00,5.09,10.93,4.57,"1,149.46","1,042.81","1,530.00",379.00,01_17_2022
MEN,68.84,"1,300.00","1,305.00","1,225.00","1,251.00","1,269.71","13,111.00","1,300.00","16,647,203.30",182,-49.00,80.00,-3.77,6.53,-1.50,"1,152.62","1,045.37","1,530.00",392.00,01_18_2022
MEN,60.96,"1,231.00","1,259.70","1,226.20","1,249.00","1,237.93","10,150.00","1,251.00","12,565,037.70",162,-2.00,33.50,-0.16,2.73,0.89,"1,155.61","1,047.99","1,530.00",392.00,01_19_2022
MEN,57.73,"1,226.00","1,245.00","1,213.50","1,245.00","1,229.76","7,046.00","1,249.00","8,664,889.00",91,-4.00,31.50,-0.32,2.60,1.22,"1,158.32","1,050.60","1,530.00",392.00,01_20_2022
MEN,54.24,"1,226.00","1,245.00","1,213.50","1,245.00","1,229.76","7,046.00","1,249.00","8,664,889.00",91,-4.00,31.50,-0.32,2.60,1.22,"1,158.32","1,050.60","1,530.00",392.00,01_21_2022
MEN,54.24,"1,226.00","1,245.00","1,213.50","1,245.00","1,229.76","7,046.00","1,249.00","8,664,889.00",91,-4.00,31.50,-0.32,2.60,1.22,"1,158.32","1,050.60","1,530.00",392.00,01_22_2022
MEN,56.07,"1,245.00","1,245.00","1,200.00","1,231.00","1,221.89","11,450.00","1,245.00","13,990,691.50",110,-14.00,45.00,-1.12,3.75,0.74,"1,160.84","1,053.34","1,530.00",420.00,01_23_2022
MEN,52.01,"1,231.00","1,231.00","1,167.00","1,168.20","1,176.97","7,730.00","1,231.00","9,097,955.00",125,-62.80,64.00,-5.10,5.48,-0.75,"1,162.66","1,055.77","1,530.00",420.00,01_24_2022
MEN,48.15,"1,155.10","1,191.50","1,155.10","1,175.00","1,166.51","3,060.00","1,168.20","3,569,519.50",87,6.80,36.40,0.58,3.15,0.72,"1,164.25","1,058.02","1,530.00",461.00,01_25_2022
MEN,42.87,"1,157.00","1,174.00","1,145.00","1,170.00","1,160.84","4,300.00","1,175.00","4,991,631.00",66,-5.00,29.00,-0.43,2.53,0.78,"1,165.76","1,060.23","1,530.00",499.00,01_26_2022
MEN,41.62,"1,161.00","1,170.00","1,150.00","1,170.00","1,153.86",976.00,"1,170.00","1,126,172.00",71,0.00,20.00,0.00,1.74,1.38,"1,167.34","1,062.34","1,530.00",499.00,01_27_2022
MEN,37.73,"1,161.00","1,170.00","1,150.00","1,170.00","1,153.86",976.00,"1,170.00","1,126,172.00",71,0.00,20.00,0.00,1.74,1.38,"1,167.34","1,062.34","1,530.00",499.00,01_28_2022
MEN,37.73,"1,161.00","1,170.00","1,150.00","1,170.00","1,153.86",976.00,"1,170.00","1,126,172.00",71,0.00,20.00,0.00,1.74,1.38,"1,167.34","1,062.34","1,530.00",499.00,01_29_2022
MEN,38.93,"1,193.40","1,216.80","1,169.20","1,205.00","1,194.64","7,180.00","1,170.00","8,577,512.00",141,35.00,47.60,2.99,4.07,0.86,"1,169.17","1,064.57","1,530.00",514.00,01_30_2022
MEN,53.58,"1,184.00","1,229.10","1,177.70","1,229.10","1,212.14","5,185.00","1,205.00","6,284,967.00",120,24.10,51.40,2.00,4.36,1.38,"1,171.17","1,066.99","1,530.00",514.00,01_31_2022
MEN,55.22,"1,204.60","1,253.60","1,185.00","1,251.00","1,241.80","11,176.00","1,229.10","13,878,378.00",191,21.90,68.60,1.78,5.79,0.74,"1,173.51","1,069.54","1,530.00",521.00,02_01_2022
MEN,56.98,"1,204.60","1,253.60","1,185.00","1,251.00","1,241.80","11,176.00","1,229.10","13,878,378.00",191,21.90,68.60,1.78,5.79,0.74,"1,173.51","1,069.54","1,530.00",521.00,02_02_2022
MEN,56.92,"1,251.00","1,255.00","1,230.00","1,235.00","1,245.16","6,386.00","1,251.00","7,951,585.00",168,-16.00,25.00,-1.28,2.03,-0.82,"1,175.67","1,072.07","1,530.00",600.00,02_03_2022
MEN,51.68,"1,251.00","1,255.00","1,230.00","1,235.00","1,245.16","6,386.00","1,251.00","7,951,585.00",168,-16.00,25.00,-1.28,2.03,-0.82,"1,175.67","1,072.07","1,530.00",600.00,02_04_2022
MEN,51.68,"1,251.00","1,255.00","1,230.00","1,235.00","1,245.16","6,386.00","1,251.00","7,951,585.00",168,-16.00,25.00,-1.28,2.03,-0.82,"1,175.67","1,072.07","1,530.00",600.00,02_05_2022
MEN,51.53,"1,210.30","1,243.00","1,210.10","1,220.00","1,220.63","3,105.00","1,235.00","3,790,043.00",89,-15.00,32.90,-1.21,2.72,-0.05,"1,177.72","1,074.62","1,530.00",600.00,02_06_2022
MEN,45.67,"1,196.00","1,230.00","1,196.00","1,220.00","1,211.14","1,665.00","1,220.00","2,016,555.00",103,0.00,34.00,0.00,2.84,0.73,"1,179.63","1,077.08","1,530.00",600.00,02_07_2022
MEN,38.26,"1,244.40","1,279.00","1,192.00","1,224.00","1,220.23","23,423.00","1,220.00","28,581,335.00",188,4.00,87.00,0.33,7.30,0.31,"1,181.62","1,079.46","1,530.00",600.00,02_08_2022
MEN,46.05,"1,200.00","1,200.00","1,175.10","1,191.00","1,185.47","4,103.00","1,224.00","4,863,993.40",74,-33.00,24.90,-2.70,2.12,0.46,"1,183.51","1,081.59","1,530.00",600.00,02_09_2022
MEN,41.54,"1,168.00","1,214.00","1,146.00","1,199.00","1,160.58","16,844.00","1,191.00","19,548,764.30",147,8.00,68.00,0.67,5.93,3.20,"1,185.42","1,083.56","1,530.00",600.00,02_10_2022
MEN,45.30,"1,168.00","1,214.00","1,146.00","1,199.00","1,160.58","16,844.00","1,191.00","19,548,764.30",147,8.00,68.00,0.67,5.93,3.20,"1,185.42","1,083.56","1,530.00",600.00,02_11_2022
MEN,45.30,"1,168.00","1,214.00","1,146.00","1,199.00","1,160.58","16,844.00","1,191.00","19,548,764.30",147,8.00,68.00,0.67,5.93,3.20,"1,185.42","1,083.56","1,530.00",600.00,02_12_2022
MEN,37.65,"1,135.50","1,160.00","1,116.00","1,135.00","1,137.07","3,050.00","1,149.50","3,468,064.00",68,-14.50,44.00,-1.26,3.94,-0.18,"1,186.52","1,086.97","1,530.00",600.00,02_14_2022
MEN,32.44,"1,115.00","1,156.00","1,115.00","1,156.00","1,139.42","1,845.00","1,135.00","2,102,223.00",63,21.00,41.00,1.85,3.68,1.43,"1,186.49","1,088.75","1,530.00",600.00,02_15_2022
MEN,43.81,"1,135.20","1,175.00","1,119.00","1,152.00","1,139.61","4,922.00","1,156.00","5,609,182.50",62,-4.00,56.00,-0.35,5.00,1.08,"1,185.45","1,090.41","1,530.00",600.00,02_16_2022
MEN,40.92,"1,150.00","1,169.00","1,124.00","1,155.00","1,146.87",633.00,"1,152.00","725,970.00",49,3.00,45.00,0.26,4.00,0.70,"1,183.81","1,092.16","1,530.00",600.00,02_17_2022
MEN,43.43,"1,150.00","1,169.00","1,124.00","1,155.00","1,146.87",633.00,"1,152.00","725,970.00",49,3.00,45.00,0.26,4.00,0.70,"1,183.81","1,092.16","1,530.00",600.00,02_18_2022
MEN,43.43,"1,150.00","1,169.00","1,124.00","1,155.00","1,146.87",633.00,"1,152.00","725,970.00",49,3.00,45.00,0.26,4.00,0.70,"1,183.81","1,092.16","1,530.00",600.00,02_19_2022
MEN,43.01,"1,132.00","1,154.50","1,109.40","1,139.00","1,138.13","3,145.00","1,155.00","3,579,434.00",59,-16.00,45.10,-1.39,4.07,0.08,"1,182.64","1,093.91","1,530.00",600.00,02_20_2022
MEN,45.83,"1,120.00","1,160.00","1,120.00","1,135.00","1,133.77","1,050.00","1,139.00","1,190,461.00",53,-4.00,40.00,-0.35,3.57,0.11,"1,180.36","1,095.61","1,530.00",600.00,02_21_2022
MEN,39.19,"1,140.00","1,180.00","1,137.00","1,160.00","1,161.66","5,190.00","1,135.00","6,029,024.00",91,25.00,43.00,2.20,3.78,-0.14,"1,177.35","1,097.51","1,530.00",600.00,02_22_2022
MEN,56.78,"1,160.00","1,179.90","1,145.00","1,169.00","1,155.62","3,740.00","1,160.00","4,322,026.00",95,9.00,34.90,0.78,3.05,1.14,"1,175.25","1,099.50","1,530.00",600.00,02_23_2022
MEN,52.50,"1,150.00","1,150.80","1,128.40","1,140.00","1,135.97","2,485.00","1,169.00","2,822,875.50",69,-29.00,22.40,-2.48,1.99,0.35,"1,173.92","1,101.18","1,530.00",600.00,02_24_2022
MEN,45.31,"1,150.00","1,150.80","1,128.40","1,140.00","1,135.97","2,485.00","1,169.00","2,822,875.50",69,-29.00,22.40,-2.48,1.99,0.35,"1,173.92","1,101.18","1,530.00",600.00,02_25_2022
MEN,45.31,"1,150.00","1,150.80","1,128.40","1,140.00","1,135.97","2,485.00","1,169.00","2,822,875.50",69,-29.00,22.40,-2.48,1.99,0.35,"1,173.92","1,101.18","1,530.00",600.00,02_26_2022
MEN,44.96,"1,139.00","1,145.00","1,120.00","1,130.00","1,125.52","3,240.00","1,140.00","3,646,672.20",80,-10.00,25.00,-0.88,2.23,0.40,"1,171.67","1,102.97","1,530.00",600.00,02_27_2022
MEN,43.82,"1,135.00","1,158.00","1,093.80","1,104.00","1,124.39","4,462.00","1,130.00","5,017,043.00",63,-26.00,64.20,-2.30,5.87,-1.85,"1,168.12","1,104.71","1,530.00",600.00,02_28_2022
MEN,37.86,"1,135.00","1,158.00","1,093.80","1,104.00","1,124.39","4,462.00","1,130.00","5,017,043.00",63,-26.00,64.20,-2.30,5.87,-1.85,"1,168.12","1,104.71","1,530.00",600.00,03_01_2022
MEN,37.69,"1,104.00","1,110.00","1,055.20","1,080.00","1,072.20","3,672.00","1,104.00","3,937,135.00",86,-24.00,54.80,-2.17,5.19,0.72,"1,164.80","1,106.38","1,530.00",608.00,03_02_2022
MEN,35.32,"1,104.00","1,110.00","1,055.20","1,080.00","1,072.20","3,672.00","1,104.00","3,937,135.00",86,-24.00,54.80,-2.17,5.19,0.72,"1,164.80","1,106.38","1,530.00",608.00,03_03_2022
MEN,35.32,"1,104.00","1,110.00","1,055.20","1,080.00","1,072.20","3,672.00","1,104.00","3,937,135.00",86,-24.00,54.80,-2.17,5.19,0.72,"1,164.80","1,106.38","1,530.00",608.00,03_04_2022
MEN,35.32,"1,104.00","1,110.00","1,055.20","1,080.00","1,072.20","3,672.00","1,104.00","3,937,135.00",86,-24.00,54.80,-2.17,5.19,0.72,"1,164.80","1,106.38","1,530.00",608.00,03_05_2022
MEN,32.69,"1,100.00","1,100.00","1,045.10","1,055.00","1,057.66","4,125.00","1,080.00","4,362,833.50",63,-25.00,54.90,-2.31,5.25,-0.25,"1,161.97","1,107.69","1,530.00",625.00,03_06_2022
MEN,37.66,"1,050.00","1,076.00","1,036.50","1,050.00","1,046.71","2,065.00","1,055.00","2,161,446.00",47,-5.00,39.50,-0.47,3.81,0.31,"1,159.64","1,109.10","1,530.00",625.00,03_07_2022
