Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SBL,49.48,515.00,522.00,506.10,514.00,516.26,"210,317.00",511.00,"108,578,916.70","1,005",3.00,15.90,0.59,3.14,-0.44,475.94,449.57,605.00,295.00,09_01_2021
SBL,62.95,535.30,535.30,520.00,521.00,524.07,"122,419.00",524.90,"64,155,554.20",445,-3.90,15.30,-0.74,2.94,-0.59,501.11,471.66,605.00,328.00,11_03_2021
SBL,59.37,535.30,535.30,520.00,521.00,524.07,"122,419.00",524.90,"64,155,554.20",445,-3.90,15.30,-0.74,2.94,-0.59,501.11,471.66,605.00,328.00,11_05_2021
SBL,59.37,535.30,535.30,520.00,521.00,524.07,"122,419.00",524.90,"64,155,554.20",445,-3.90,15.30,-0.74,2.94,-0.59,501.11,471.66,605.00,328.00,11_06_2021
SBL,59.37,535.30,535.30,520.00,521.00,524.07,"122,419.00",524.90,"64,155,554.20",445,-3.90,15.30,-0.74,2.94,-0.59,501.11,471.66,605.00,328.00,11_07_2021
SBL,60.16,522.00,524.90,515.00,515.00,518.29,"65,089.00",521.00,"33,734,723.30",334,-6.00,9.90,-1.15,1.92,-0.64,501.91,472.41,605.00,328.00,11_08_2021
SBL,53.01,514.00,516.00,497.00,500.00,504.46,"135,857.00",515.00,"68,533,987.10",535,-15.00,19.00,-2.91,3.82,-0.89,502.59,473.11,605.00,328.00,11_09_2021
SBL,46.63,514.00,516.00,497.00,500.00,504.46,"135,857.00",515.00,"68,533,987.10",535,-15.00,19.00,-2.91,3.82,-0.89,502.59,473.11,605.00,328.00,11_10_2021
SBL,44.58,492.00,500.00,487.00,488.00,492.36,"95,531.00",500.00,"47,035,889.80",441,-12.00,13.00,-2.40,2.67,-0.89,503.16,473.61,605.00,328.00,11_11_2021
SBL,42.64,492.00,500.00,487.00,488.00,492.36,"95,531.00",500.00,"47,035,889.80",441,-12.00,13.00,-2.40,2.67,-0.89,503.16,473.61,605.00,328.00,11_12_2021
SBL,42.64,492.00,500.00,487.00,488.00,492.36,"95,531.00",500.00,"47,035,889.80",441,-12.00,13.00,-2.40,2.67,-0.89,503.16,473.61,605.00,328.00,11_13_2021
SBL,40.59,488.00,495.00,485.00,495.00,491.29,"77,529.00",488.00,"38,089,357.90",319,7.00,10.00,1.43,2.06,0.75,503.78,474.17,605.00,328.00,11_14_2021
SBL,40.73,495.00,500.00,495.00,497.00,496.06,"42,884.00",495.00,"21,273,018.20",223,2.00,5.00,0.40,1.01,0.19,504.44,474.72,605.00,328.00,11_15_2021
SBL,39.42,497.00,506.00,494.00,504.00,500.85,"55,838.00",497.00,"27,966,347.50",273,7.00,12.00,1.41,2.43,0.63,505.15,475.32,605.00,328.00,11_16_2021
