Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BPCL,46.12,599.00,606.00,585.00,588.00,594.19,"70,904.00",588.00,"42,130,695.30",733,0.00,21.00,0.00,3.59,-1.05,490.59,466.01,703.00,369.00,09_01_2021
BPCL,60.11,546.00,546.00,530.20,530.20,540.72,"38,515.00",536.00,"20,826,019.60",297,-5.80,15.80,-1.08,2.98,-1.99,527.27,487.81,703.00,380.00,11_03_2021
BPCL,59.78,546.00,546.00,530.20,530.20,540.72,"38,515.00",536.00,"20,826,019.60",297,-5.80,15.80,-1.08,2.98,-1.99,527.27,487.81,703.00,380.00,11_05_2021
BPCL,59.78,546.00,546.00,530.20,530.20,540.72,"38,515.00",536.00,"20,826,019.60",297,-5.80,15.80,-1.08,2.98,-1.99,527.27,487.81,703.00,380.00,11_06_2021
BPCL,59.78,546.00,546.00,530.20,530.20,540.72,"38,515.00",536.00,"20,826,019.60",297,-5.80,15.80,-1.08,2.98,-1.99,527.27,487.81,703.00,380.00,11_07_2021
BPCL,60.57,540.80,546.00,534.00,536.00,539.83,"31,565.00",530.20,"17,039,701.70",229,5.80,12.00,1.09,2.25,-0.71,528.26,488.46,703.00,380.00,11_08_2021
BPCL,53.47,536.10,538.00,511.00,515.00,521.57,"33,296.00",536.00,"17,366,101.60",307,-21.00,27.00,-3.92,5.28,-1.28,529.10,488.88,703.00,380.00,11_09_2021
BPCL,48.31,536.10,538.00,511.00,515.00,521.57,"33,296.00",536.00,"17,366,101.60",307,-21.00,27.00,-3.92,5.28,-1.28,529.10,488.88,703.00,380.00,11_10_2021
BPCL,46.26,517.00,517.00,496.00,497.00,500.96,"39,845.00",515.00,"19,960,676.40",353,-18.00,21.00,-3.50,4.23,-0.80,529.79,489.22,703.00,380.00,11_11_2021
BPCL,47.00,517.00,517.00,496.00,497.00,500.96,"39,845.00",515.00,"19,960,676.40",353,-18.00,21.00,-3.50,4.23,-0.80,529.79,489.22,703.00,380.00,11_12_2021
BPCL,47.00,517.00,517.00,496.00,497.00,500.96,"39,845.00",515.00,"19,960,676.40",353,-18.00,21.00,-3.50,4.23,-0.80,529.79,489.22,703.00,380.00,11_13_2021
BPCL,44.95,497.00,513.00,497.00,502.00,504.74,"20,187.00",497.00,"10,189,167.50",242,5.00,16.00,1.01,3.22,-0.55,530.51,489.64,703.00,380.00,11_14_2021
BPCL,42.68,502.00,515.00,502.00,506.00,509.20,"19,317.00",502.00,"9,836,173.30",230,4.00,13.00,0.80,2.59,-0.63,531.28,490.16,703.00,380.00,11_15_2021
BPCL,42.89,506.00,521.00,505.00,519.00,513.53,"23,969.00",506.00,"12,308,738.50",272,13.00,16.00,2.57,3.17,1.05,532.13,490.78,703.00,380.00,11_16_2021
BPCL,50.98,529.00,539.00,520.00,520.00,527.94,"24,779.00",519.00,"13,081,791.60",277,1.00,19.00,0.19,3.65,-1.53,532.93,491.42,703.00,380.00,11_17_2021
BPCL,59.90,510.00,527.00,510.00,510.00,515.21,"21,435.00",520.00,"11,043,553.40",263,-10.00,17.00,-1.92,3.33,-1.02,533.63,491.98,703.00,380.00,11_18_2021
BPCL,52.30,510.00,527.00,510.00,510.00,515.21,"21,435.00",520.00,"11,043,553.40",263,-10.00,17.00,-1.92,3.33,-1.02,533.63,491.98,703.00,380.00,11_19_2021
BPCL,52.30,510.00,527.00,510.00,510.00,515.21,"21,435.00",520.00,"11,043,553.40",263,-10.00,17.00,-1.92,3.33,-1.02,533.63,491.98,703.00,380.00,11_20_2021
BPCL,47.60,515.00,520.00,505.20,515.00,510.15,"9,125.00",510.00,"4,655,136.10",133,5.00,14.80,0.98,2.93,0.94,534.01,492.59,703.00,380.00,11_21_2021
BPCL,43.27,516.00,520.00,509.00,512.00,513.15,"12,563.00",515.00,"6,446,714.70",154,-3.00,11.00,-0.58,2.16,-0.22,534.49,493.19,703.00,380.00,11_22_2021
BPCL,39.98,513.00,513.00,495.00,498.00,501.01,"28,559.00",512.00,"14,308,461.90",284,-14.00,18.00,-2.73,3.64,-0.61,534.83,493.72,703.00,380.00,11_23_2021
BPCL,43.38,496.00,505.00,488.30,505.00,496.09,"19,888.00",498.00,"9,866,222.80",214,7.00,16.70,1.41,3.42,1.76,535.24,494.26,703.00,380.00,11_24_2021
BPCL,44.40,505.00,509.90,497.10,500.00,501.38,"12,903.00",505.00,"6,469,278.90",151,-5.00,12.80,-0.99,2.57,-0.28,535.53,494.79,703.00,380.00,11_25_2021
BPCL,40.58,505.00,509.90,497.10,500.00,501.38,"12,903.00",505.00,"6,469,278.90",151,-5.00,12.80,-0.99,2.57,-0.28,535.53,494.79,703.00,380.00,11_26_2021
BPCL,40.58,505.00,509.90,497.10,500.00,501.38,"12,903.00",505.00,"6,469,278.90",151,-5.00,12.80,-0.99,2.57,-0.28,535.53,494.79,703.00,380.00,11_27_2021
BPCL,37.68,491.00,495.00,481.00,485.00,486.26,"23,936.00",500.00,"11,639,018.70",294,-15.00,14.00,-3.00,2.91,-0.26,535.58,495.26,703.00,380.00,11_28_2021
BPCL,40.36,485.00,491.00,479.00,484.90,484.63,"8,273.00",485.00,"4,009,313.00",125,-0.10,12.00,-0.02,2.51,0.06,535.23,495.71,703.00,380.00,11_29_2021
BPCL,41.26,490.00,493.00,479.00,484.00,482.88,"13,510.00",484.90,"6,523,696.20",139,-0.90,14.00,-0.19,2.92,0.23,534.62,496.17,703.00,380.00,11_30_2021
BPCL,38.07,485.20,490.00,480.20,480.20,484.61,"18,662.00",484.00,"9,043,742.20",203,-3.80,9.80,-0.79,2.04,-0.92,534.29,496.65,703.00,380.00,12_01_2021
BPCL,45.74,482.00,489.70,475.00,476.00,478.14,"22,515.00",480.20,"10,765,315.40",207,-4.20,14.70,-0.87,3.09,-0.45,533.97,497.09,703.00,380.00,12_02_2021
BPCL,48.82,482.00,489.70,475.00,476.00,478.14,"22,515.00",480.20,"10,765,315.40",207,-4.20,14.70,-0.87,3.09,-0.45,533.97,497.09,703.00,380.00,12_03_2021
BPCL,48.82,482.00,489.70,475.00,476.00,478.14,"22,515.00",480.20,"10,765,315.40",207,-4.20,14.70,-0.87,3.09,-0.45,533.97,497.09,703.00,380.00,12_04_2021
BPCL,47.92,480.00,484.00,457.10,460.00,461.98,"25,478.00",476.00,"11,770,350.20",311,-16.00,26.90,-3.36,5.88,-0.43,533.30,497.46,703.00,380.00,12_05_2021
BPCL,43.55,455.00,474.00,436.00,472.00,452.15,"33,393.00",460.00,"15,098,741.60",369,12.00,38.00,2.61,8.72,4.20,532.86,497.93,703.00,380.00,12_06_2021
BPCL,48.22,479.80,480.00,463.00,463.00,471.67,"12,075.00",472.00,"5,695,363.80",174,-9.00,17.00,-1.91,3.67,-1.87,532.41,498.28,703.00,380.00,12_07_2021
BPCL,42.21,461.60,465.00,442.90,445.00,451.12,"18,406.00",463.00,"8,303,354.90",216,-18.00,22.10,-3.89,4.99,-1.38,531.78,498.53,703.00,380.00,12_08_2021
BPCL,38.84,439.00,447.70,434.00,445.00,441.66,"15,036.00",445.00,"6,640,731.90",169,0.00,13.70,0.00,3.16,0.75,531.13,498.81,703.00,380.00,12_09_2021
BPCL,40.03,439.00,447.70,434.00,445.00,441.66,"15,036.00",445.00,"6,640,731.90",169,0.00,13.70,0.00,3.16,0.75,531.13,498.81,703.00,380.00,12_10_2021
BPCL,40.03,439.00,447.70,434.00,445.00,441.66,"15,036.00",445.00,"6,640,731.90",169,0.00,13.70,0.00,3.16,0.75,531.13,498.81,703.00,380.00,12_11_2021
BPCL,39.38,440.00,453.00,429.30,430.00,433.14,"26,411.00",445.00,"11,439,681.50",228,-15.00,23.70,-3.37,5.52,-0.73,530.33,499.02,703.00,380.00,12_12_2021
BPCL,35.32,422.00,422.00,398.00,409.00,407.18,"29,900.00",430.00,"12,174,788.80",363,-21.00,24.00,-4.88,6.03,0.44,529.24,499.13,703.00,380.00,12_13_2021
BPCL,37.85,417.10,438.60,412.00,438.60,426.86,"13,983.00",409.00,"5,968,810.00",147,29.60,26.60,7.24,6.46,2.68,528.21,499.41,703.00,380.00,12_14_2021
BPCL,44.40,447.00,482.40,445.00,462.90,470.52,"74,933.00",438.60,"35,257,613.50",772,24.30,37.40,5.54,8.40,-1.65,527.48,499.83,703.00,380.00,12_15_2021
BPCL,54.22,465.00,470.00,458.00,460.00,462.00,"27,424.00",462.90,"12,669,871.40",256,-2.90,12.00,-0.63,2.62,-0.43,526.84,500.22,703.00,380.00,12_16_2021
BPCL,51.37,465.00,470.00,458.00,460.00,462.00,"27,424.00",462.90,"12,669,871.40",256,-2.90,12.00,-0.63,2.62,-0.43,526.84,500.22,703.00,380.00,12_17_2021
BPCL,51.37,465.00,470.00,458.00,460.00,462.00,"27,424.00",462.90,"12,669,871.40",256,-2.90,12.00,-0.63,2.62,-0.43,526.84,500.22,703.00,380.00,12_18_2021
BPCL,51.37,465.00,470.00,458.00,460.00,462.00,"27,424.00",462.90,"12,669,871.40",256,-2.90,12.00,-0.63,2.62,-0.43,526.84,500.22,703.00,380.00,12_19_2021
BPCL,48.68,468.00,469.00,449.60,451.00,454.44,"19,440.00",460.00,"8,834,390.70",204,-9.00,19.40,-1.96,4.31,-0.76,526.26,500.55,703.00,380.00,12_20_2021
BPCL,47.82,454.00,459.00,451.10,458.00,455.21,"8,570.00",451.00,"3,901,133.60",112,7.00,7.90,1.55,1.75,0.61,525.64,500.91,703.00,380.00,12_21_2021
BPCL,49.24,467.10,474.00,458.00,470.00,468.46,"35,034.00",458.00,"16,411,931.30",302,12.00,16.00,2.62,3.49,0.33,525.24,501.32,703.00,380.00,12_22_2021
BPCL,54.10,479.00,498.00,471.00,482.60,484.98,"58,628.00",470.00,"28,433,296.70",638,12.60,27.00,2.68,5.73,-0.49,525.17,501.75,703.00,380.00,12_23_2021
BPCL,57.33,479.00,498.00,471.00,482.60,484.98,"58,628.00",470.00,"28,433,296.70",638,12.60,27.00,2.68,5.73,-0.49,525.17,501.75,703.00,380.00,12_24_2021
BPCL,57.33,479.00,498.00,471.00,482.60,484.98,"58,628.00",470.00,"28,433,296.70",638,12.60,27.00,2.68,5.73,-0.49,525.17,501.75,703.00,380.00,12_25_2021
BPCL,55.70,438.00,438.00,430.00,432.00,433.05,"37,420.00",438.73,"16,204,658.50",346,-6.73,8.00,-1.53,1.86,-0.24,524.49,501.88,703.00,380.00,12_26_2021
BPCL,45.29,430.00,430.00,416.00,416.00,421.48,"24,642.00",432.00,"10,386,124.70",272,-16.00,14.00,-3.70,3.37,-1.32,523.76,501.93,703.00,380.00,12_27_2021
BPCL,38.24,416.00,416.00,407.70,409.10,410.84,"18,752.00",416.00,"7,704,059.20",180,-6.90,8.30,-1.66,2.04,-0.43,523.01,501.96,703.00,380.00,12_28_2021
BPCL,35.04,417.00,417.20,408.00,415.00,412.27,"20,136.00",409.10,"8,301,377.50",155,5.90,9.20,1.44,2.25,0.66,522.09,502.02,703.00,380.00,12_29_2021
BPCL,36.20,417.00,417.20,408.00,415.00,412.27,"20,136.00",409.10,"8,301,377.50",155,5.90,9.20,1.44,2.25,0.66,522.09,502.02,703.00,380.00,12_30_2021
BPCL,36.20,417.00,417.20,408.00,415.00,412.27,"20,136.00",409.10,"8,301,377.50",155,5.90,9.20,1.44,2.25,0.66,522.09,502.02,703.00,380.00,12_31_2021
BPCL,36.20,417.00,417.20,408.00,415.00,412.27,"20,136.00",409.10,"8,301,377.50",155,5.90,9.20,1.44,2.25,0.66,522.09,502.02,703.00,380.00,01_01_2022
BPCL,37.74,415.00,416.00,410.00,415.00,413.03,"10,830.00",415.00,"4,473,113.30",111,0.00,6.00,0.00,1.46,0.47,521.27,502.09,703.00,380.00,01_02_2022
BPCL,43.73,415.00,419.90,414.00,418.00,416.02,"13,872.00",415.00,"5,770,963.20",147,3.00,5.90,0.72,1.43,0.47,520.54,502.15,703.00,380.00,01_03_2022
BPCL,51.33,412.00,425.00,410.00,424.00,419.73,"15,929.00",418.00,"6,685,849.10",136,6.00,15.00,1.44,3.66,1.01,519.91,502.22,703.00,380.00,01_04_2022
BPCL,54.42,430.00,445.00,421.40,425.00,429.51,"25,832.00",424.00,"11,095,196.00",188,1.00,23.60,0.24,5.60,-1.06,519.14,502.31,703.00,380.00,01_05_2022
BPCL,57.55,420.00,433.00,420.00,430.90,428.39,"13,157.00",425.00,"5,636,316.30",142,5.90,13.00,1.39,3.10,0.58,518.43,502.22,703.00,380.00,01_06_2022
BPCL,54.53,420.00,433.00,420.00,430.90,428.39,"13,157.00",425.00,"5,636,316.30",142,5.90,13.00,1.39,3.10,0.58,518.43,502.22,703.00,380.00,01_07_2022
BPCL,54.53,420.00,433.00,420.00,430.90,428.39,"13,157.00",425.00,"5,636,316.30",142,5.90,13.00,1.39,3.10,0.58,518.43,502.22,703.00,380.00,01_08_2022
BPCL,55.01,439.00,453.00,431.00,451.00,444.09,"47,660.00",430.90,"21,165,109.30",428,20.10,22.00,4.66,5.10,1.53,517.97,502.33,703.00,380.00,01_09_2022
BPCL,61.25,455.00,464.00,445.00,449.50,453.87,"38,615.00",451.00,"17,526,233.40",266,-1.50,19.00,-0.33,4.27,-0.97,517.51,502.48,703.00,380.00,01_10_2022
BPCL,63.69,450.00,488.00,446.00,457.00,454.81,"31,544.00",449.50,"14,346,406.90",277,7.50,42.00,1.67,9.42,0.48,517.18,502.69,703.00,380.00,01_11_2022
BPCL,63.93,460.00,474.90,450.00,454.00,461.73,"32,648.00",457.00,"15,074,528.30",333,-3.00,24.90,-0.66,5.53,-1.70,516.81,502.85,703.00,380.00,01_12_2022
BPCL,58.60,457.00,465.00,448.00,459.00,457.84,"24,014.00",454.00,"10,994,573.10",247,5.00,17.00,1.10,3.79,0.25,516.40,503.03,703.00,380.00,01_13_2022
BPCL,57.33,457.00,465.00,448.00,459.00,457.84,"24,014.00",454.00,"10,994,573.10",247,5.00,17.00,1.10,3.79,0.25,516.40,503.03,703.00,380.00,01_14_2022
BPCL,57.33,457.00,465.00,448.00,459.00,457.84,"24,014.00",454.00,"10,994,573.10",247,5.00,17.00,1.10,3.79,0.25,516.40,503.03,703.00,380.00,01_15_2022
BPCL,58.53,468.00,485.00,468.00,479.00,477.11,"46,913.00",459.00,"22,382,894.40",398,20.00,17.00,4.36,3.63,0.39,516.22,503.34,703.00,380.00,01_16_2022
BPCL,68.46,481.00,481.00,466.00,476.00,472.61,"31,568.00",479.00,"14,919,332.20",312,-3.00,15.00,-0.63,3.22,0.71,516.02,503.65,703.00,380.00,01_17_2022
BPCL,67.97,485.00,485.50,461.00,473.00,469.62,"28,469.00",476.00,"13,369,513.40",317,-3.00,24.50,-0.63,5.31,0.72,515.77,503.95,703.00,380.00,01_18_2022
BPCL,67.51,474.00,474.00,460.00,460.00,463.25,"25,754.00",473.00,"11,930,551.70",273,-13.00,14.00,-2.75,3.04,-0.71,515.39,504.19,703.00,380.00,01_19_2022
BPCL,61.14,460.00,466.00,452.00,465.00,460.95,"19,267.00",460.00,"8,881,133.30",221,5.00,14.00,1.09,3.10,0.87,514.96,504.44,703.00,380.00,01_20_2022
BPCL,48.44,460.00,466.00,452.00,465.00,460.95,"19,267.00",460.00,"8,881,133.30",221,5.00,14.00,1.09,3.10,0.87,514.96,504.44,703.00,380.00,01_21_2022
BPCL,48.44,460.00,466.00,452.00,465.00,460.95,"19,267.00",460.00,"8,881,133.30",221,5.00,14.00,1.09,3.10,0.87,514.96,504.44,703.00,380.00,01_22_2022
BPCL,50.27,474.00,474.00,451.00,459.00,458.25,"30,667.00",465.00,"14,053,162.30",294,-6.00,23.00,-1.29,5.10,0.16,514.46,504.73,703.00,383.00,01_23_2022
BPCL,51.69,450.00,455.00,436.00,437.00,442.05,"54,678.00",459.00,"24,170,271.20",550,-22.00,19.00,-4.79,4.36,-1.16,513.76,504.94,703.00,383.00,01_24_2022
BPCL,53.23,430.00,450.00,426.00,435.00,438.92,"26,212.00",437.00,"11,504,910.30",309,-2.00,24.00,-0.46,5.63,-0.90,512.98,505.09,703.00,383.00,01_25_2022
BPCL,47.45,430.50,438.00,426.50,426.50,430.48,"31,305.00",435.00,"13,476,203.70",306,-8.50,11.50,-1.95,2.70,-0.93,512.15,505.21,703.00,383.00,01_26_2022
BPCL,46.32,430.00,438.00,425.20,426.00,428.47,"20,457.00",426.50,"8,765,162.40",269,-0.50,12.80,-0.12,3.01,-0.58,511.24,505.29,703.00,383.00,01_27_2022
BPCL,43.75,430.00,438.00,425.20,426.00,428.47,"20,457.00",426.50,"8,765,162.40",269,-0.50,12.80,-0.12,3.01,-0.58,511.24,505.29,703.00,383.00,01_28_2022
BPCL,43.75,430.00,438.00,425.20,426.00,428.47,"20,457.00",426.50,"8,765,162.40",269,-0.50,12.80,-0.12,3.01,-0.58,511.24,505.29,703.00,383.00,01_29_2022
BPCL,44.95,434.50,450.00,434.50,450.00,443.97,"28,859.00",426.00,"12,812,454.50",308,24.00,15.50,5.63,3.57,1.34,510.34,505.42,703.00,383.00,01_30_2022
BPCL,56.37,455.00,462.00,436.20,440.00,445.09,"21,078.00",450.00,"9,381,544.10",258,-10.00,25.80,-2.22,5.91,-1.16,509.37,505.51,703.00,383.00,01_31_2022
BPCL,54.27,442.00,456.90,438.00,454.00,449.40,"30,293.00",440.00,"13,613,532.70",302,14.00,18.90,3.18,4.32,1.01,508.58,505.68,703.00,383.00,02_01_2022
BPCL,62.50,442.00,456.90,438.00,454.00,449.40,"30,293.00",440.00,"13,613,532.70",302,14.00,18.90,3.18,4.32,1.01,508.58,505.68,703.00,383.00,02_02_2022
BPCL,62.44,463.00,473.00,460.00,460.70,464.55,"54,529.00",454.00,"25,331,192.70",505,6.70,13.00,1.48,2.83,-0.83,507.75,505.89,703.00,383.00,02_03_2022
BPCL,63.41,463.00,473.00,460.00,460.70,464.55,"54,529.00",454.00,"25,331,192.70",505,6.70,13.00,1.48,2.83,-0.83,507.75,505.89,703.00,383.00,02_04_2022
BPCL,63.41,463.00,473.00,460.00,460.70,464.55,"54,529.00",454.00,"25,331,192.70",505,6.70,13.00,1.48,2.83,-0.83,507.75,505.89,703.00,383.00,02_05_2022
BPCL,63.26,455.00,468.00,455.00,460.00,459.23,"38,775.00",460.70,"17,806,654.30",301,-0.70,13.00,-0.15,2.86,0.17,506.89,506.13,703.00,383.00,02_06_2022
BPCL,55.15,460.00,465.00,455.20,456.00,460.06,"19,615.00",460.00,"9,024,163.20",227,-4.00,9.80,-0.87,2.15,-0.89,506.00,506.37,703.00,383.00,02_07_2022
BPCL,57.55,465.10,473.00,455.00,457.00,462.57,"26,186.00",456.00,"12,112,811.60",293,1.00,18.00,0.22,3.96,-1.22,504.89,506.61,703.00,383.00,02_08_2022
BPCL,54.32,448.00,455.00,444.10,445.00,446.58,"13,824.00",457.00,"6,173,571.60",197,-12.00,10.90,-2.63,2.45,-0.36,503.48,506.77,703.00,383.00,02_09_2022
BPCL,42.84,453.00,453.00,434.20,439.00,439.27,"17,098.00",445.00,"7,510,584.70",204,-6.00,18.80,-1.35,4.33,-0.06,501.57,506.91,703.00,383.00,02_10_2022
BPCL,40.51,453.00,453.00,434.20,439.00,439.27,"17,098.00",445.00,"7,510,584.70",204,-6.00,18.80,-1.35,4.33,-0.06,501.57,506.91,703.00,383.00,02_11_2022
BPCL,40.51,453.00,453.00,434.20,439.00,439.27,"17,098.00",445.00,"7,510,584.70",204,-6.00,18.80,-1.35,4.33,-0.06,501.57,506.91,703.00,383.00,02_12_2022
BPCL,41.67,420.00,432.90,420.00,427.00,428.71,"17,103.00",425.00,"7,332,281.00",174,2.00,12.90,0.47,3.07,-0.40,497.57,506.97,703.00,383.00,02_14_2022
BPCL,36.28,430.00,438.00,422.00,435.00,429.63,"28,269.00",427.00,"12,145,197.50",204,8.00,16.00,1.87,3.79,1.23,495.70,507.02,703.00,383.00,02_15_2022
BPCL,49.89,443.70,443.70,428.50,429.00,434.23,"13,235.00",435.00,"5,747,008.50",179,-6.00,15.20,-1.38,3.55,-1.22,493.82,506.79,703.00,383.00,02_16_2022
BPCL,43.67,435.00,435.00,426.00,429.10,430.26,"6,150.00",429.00,"2,646,094.80",86,0.10,9.00,0.02,2.11,-0.27,492.23,506.66,703.00,383.00,02_17_2022
BPCL,46.85,435.00,435.00,426.00,429.10,430.26,"6,150.00",429.00,"2,646,094.80",86,0.10,9.00,0.02,2.11,-0.27,492.23,506.66,703.00,383.00,02_18_2022
BPCL,46.85,435.00,435.00,426.00,429.10,430.26,"6,150.00",429.00,"2,646,094.80",86,0.10,9.00,0.02,2.11,-0.27,492.23,506.66,703.00,383.00,02_19_2022
BPCL,46.43,427.00,430.00,411.00,427.80,423.73,"19,040.00",429.10,"8,067,817.30",217,-1.30,19.00,-0.30,4.62,0.95,490.61,506.49,703.00,383.00,02_20_2022
BPCL,46.59,430.00,449.30,422.70,438.50,432.22,"59,864.00",427.80,"25,874,169.00",310,10.70,26.60,2.50,6.29,1.43,488.98,506.40,703.00,383.00,02_21_2022
BPCL,54.77,445.80,447.00,437.60,439.00,441.24,"15,520.00",438.50,"6,848,074.30",191,0.50,9.40,0.11,2.15,-0.51,487.34,506.25,703.00,383.00,02_22_2022
BPCL,53.97,447.70,447.70,435.10,437.00,439.45,"16,537.00",439.00,"7,267,262.70",177,-2.00,12.60,-0.46,2.90,-0.56,485.84,506.01,703.00,383.00,02_23_2022
BPCL,51.21,432.00,436.90,425.00,425.00,427.82,"30,993.00",437.00,"13,259,498.20",330,-12.00,11.90,-2.75,2.80,-0.66,484.45,505.45,703.00,383.00,02_24_2022
BPCL,36.87,432.00,436.90,425.00,425.00,427.82,"30,993.00",437.00,"13,259,498.20",330,-12.00,11.90,-2.75,2.80,-0.66,484.45,505.45,703.00,383.00,02_25_2022
BPCL,36.87,432.00,436.90,425.00,425.00,427.82,"30,993.00",437.00,"13,259,498.20",330,-12.00,11.90,-2.75,2.80,-0.66,484.45,505.45,703.00,383.00,02_26_2022
BPCL,36.52,425.00,435.00,420.00,431.00,429.38,"30,306.00",425.00,"13,012,746.30",298,6.00,15.00,1.41,3.57,0.38,483.15,504.75,703.00,383.00,02_27_2022
BPCL,36.66,439.60,448.30,424.00,425.00,434.29,"39,974.00",431.00,"17,360,167.70",428,-6.00,24.30,-1.39,5.73,-2.19,481.49,504.22,703.00,383.00,02_28_2022
BPCL,41.52,439.60,448.30,424.00,425.00,434.29,"39,974.00",431.00,"17,360,167.70",428,-6.00,24.30,-1.39,5.73,-2.19,481.49,504.22,703.00,383.00,03_01_2022
BPCL,41.35,425.00,425.00,410.00,410.00,415.98,"24,331.00",425.00,"10,121,178.90",271,-15.00,15.00,-3.53,3.66,-1.46,479.83,503.64,703.00,383.00,03_02_2022
BPCL,34.63,425.00,425.00,410.00,410.00,415.98,"24,331.00",425.00,"10,121,178.90",271,-15.00,15.00,-3.53,3.66,-1.46,479.83,503.64,703.00,383.00,03_03_2022
BPCL,34.63,425.00,425.00,410.00,410.00,415.98,"24,331.00",425.00,"10,121,178.90",271,-15.00,15.00,-3.53,3.66,-1.46,479.83,503.64,703.00,383.00,03_04_2022
BPCL,34.63,425.00,425.00,410.00,410.00,415.98,"24,331.00",425.00,"10,121,178.90",271,-15.00,15.00,-3.53,3.66,-1.46,479.83,503.64,703.00,383.00,03_05_2022
BPCL,32.01,405.00,416.00,403.00,405.30,409.12,"17,391.00",410.00,"7,114,929.60",242,-4.70,13.00,-1.15,3.23,-0.94,478.31,502.89,703.00,383.00,03_06_2022
BPCL,37.76,410.00,413.00,404.00,405.00,407.35,"11,115.00",405.30,"4,527,653.50",187,-0.30,9.00,-0.07,2.23,-0.58,476.78,502.23,703.00,383.00,03_07_2022
BPCL,33.24,410.00,413.00,404.00,405.00,407.35,"11,115.00",405.30,"4,527,653.50",187,-0.30,9.00,-0.07,2.23,-0.58,476.78,502.23,703.00,383.00,03_08_2022
BPCL,32.79,405.90,406.00,397.00,399.00,399.86,"20,925.00",405.00,"8,367,064.30",290,-6.00,9.00,-1.48,2.27,-0.22,475.31,501.57,703.00,383.00,03_09_2022
BPCL,35.51,400.00,410.90,395.00,410.00,405.64,"14,990.00",399.00,"6,080,512.30",185,11.00,15.90,2.76,4.03,1.06,474.27,500.96,703.00,383.00,03_10_2022
BPCL,42.27,400.00,410.90,395.00,410.00,405.64,"14,990.00",399.00,"6,080,512.30",185,11.00,15.90,2.76,4.03,1.06,474.27,500.96,703.00,383.00,03_11_2022
BPCL,42.27,400.00,410.90,395.00,410.00,405.64,"14,990.00",399.00,"6,080,512.30",185,11.00,15.90,2.76,4.03,1.06,474.27,500.96,703.00,383.00,03_12_2022
BPCL,44.22,412.00,426.00,412.00,421.00,420.59,"21,017.00",410.00,"8,839,463.30",299,11.00,14.00,2.68,3.40,0.10,472.89,500.39,703.00,383.00,03_13_2022
BPCL,51.41,425.00,425.00,415.00,419.00,418.55,"3,889.00",421.00,"1,627,734.00",53,-2.00,10.00,-0.48,2.41,0.11,471.59,499.79,703.00,383.00,03_14_2022
BPCL,47.72,424.90,424.90,411.00,412.00,413.87,"18,574.00",419.00,"7,687,151.80",213,-7.00,13.90,-1.67,3.38,-0.45,470.38,499.09,703.00,383.00,03_15_2022
BPCL,50.84,415.00,426.30,408.00,415.00,417.11,"15,263.00",412.00,"6,366,382.20",196,3.00,18.30,0.73,4.49,-0.51,469.21,498.27,703.00,383.00,03_16_2022
BPCL,49.65,415.00,426.30,408.00,415.00,417.11,"15,263.00",412.00,"6,366,382.20",196,3.00,18.30,0.73,4.49,-0.51,469.21,498.27,703.00,383.00,03_17_2022
BPCL,49.65,415.00,426.30,408.00,415.00,417.11,"15,263.00",412.00,"6,366,382.20",196,3.00,18.30,0.73,4.49,-0.51,469.21,498.27,703.00,383.00,03_18_2022
BPCL,49.65,415.00,426.30,408.00,415.00,417.11,"15,263.00",412.00,"6,366,382.20",196,3.00,18.30,0.73,4.49,-0.51,469.21,498.27,703.00,383.00,03_19_2022
BPCL,51.92,415.00,420.00,407.00,410.00,409.77,"10,169.00",415.00,"4,166,924.60",185,-5.00,13.00,-1.20,3.19,0.06,467.70,497.49,703.00,385.00,03_20_2022
BPCL,35.28,409.00,419.00,408.30,417.00,414.14,"11,603.00",410.00,"4,805,318.50",154,7.00,10.70,1.71,2.62,0.68,466.31,496.82,703.00,385.00,03_21_2022
BPCL,47.87,424.00,424.00,415.00,415.50,416.76,"14,112.00",417.00,"5,881,322.30",163,-1.50,9.00,-0.36,2.17,-0.30,464.99,496.24,703.00,385.00,03_22_2022
BPCL,53.51,420.00,420.00,410.00,411.00,412.10,"6,597.00",415.50,"2,718,627.60",111,-4.50,10.00,-1.08,2.44,-0.27,463.71,495.56,703.00,385.00,03_23_2022
BPCL,42.11,415.00,415.00,408.00,410.00,409.89,"21,917.00",411.00,"8,983,604.90",164,-1.00,7.00,-0.24,1.72,0.03,462.60,494.96,703.00,385.00,03_24_2022
BPCL,42.11,415.00,415.00,408.00,410.00,409.89,"21,917.00",411.00,"8,983,604.90",164,-1.00,7.00,-0.24,1.72,0.03,462.60,494.96,703.00,385.00,03_24_2022
BPCL,49.24,415.00,415.00,408.00,410.00,409.89,"21,917.00",411.00,"8,983,604.90",164,-1.00,7.00,-0.24,1.72,0.03,462.60,494.96,703.00,385.00,03_25_2022
BPCL,49.24,415.00,415.00,408.00,410.00,409.89,"21,917.00",411.00,"8,983,604.90",164,-1.00,7.00,-0.24,1.72,0.03,462.60,494.96,703.00,385.00,03_26_2022
BPCL,48.59,417.00,417.00,401.10,402.00,403.60,"13,809.00",410.00,"5,573,258.50",184,-8.00,15.90,-1.95,3.96,-0.40,461.70,494.47,703.00,385.00,03_27_2022
